TournamentName,TournamentURL,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,Player1_Match_Odds,Player2_Match_Odds,ModelName,ScrapeTimestampUTC
Genoachallenger,https://www.tennisabstract.com/current/2025GenoaChallenger.html,QF,Luciano Darderi,Thiago Monteiro,81.2,18.8,1.23,5.32,Sackmann,2025-09-05 06:18:58 UTC
Genoachallenger,https://www.tennisabstract.com/current/2025GenoaChallenger.html,QF,Tom Gentzsch,Kilian Feldbausch,37.7,62.3,2.65,1.61,Sackmann,2025-09-05 06:18:58 UTC
Genoachallenger,https://www.tennisabstract.com/current/2025GenoaChallenger.html,QF,Federico Bondioli,Stefano Travaglia,16.4,83.6,6.1,1.2,Sackmann,2025-09-05 06:18:58 UTC
Genoachallenger,https://www.tennisabstract.com/current/2025GenoaChallenger.html,QF,Andrea Pellegrino,Andrea Picchione,91.8,8.2,1.09,12.2,Sackmann,2025-09-05 06:18:58 UTC
Sevillechallenger,https://www.tennisabstract.com/current/2025SevilleChallenger.html,SF,Genaro Alberto Olivieri,Dusan Lajovic,22.5,77.5,4.44,1.29,Sackmann,2025-09-05 06:18:58 UTC
Sevillechallenger,https://www.tennisabstract.com/current/2025SevilleChallenger.html,SF,Daniel Merida Aguilar,Ignacio Buse,29.2,70.8,3.42,1.41,Sackmann,2025-09-05 06:18:58 UTC
Shanghaichallenger,https://www.tennisabstract.com/current/2025ShanghaiChallenger.html,QF,Filip Peliwo,Giulio Zeppieri,10.3,89.7,9.71,1.11,Sackmann,2025-09-05 06:18:58 UTC
Shanghaichallenger,https://www.tennisabstract.com/current/2025ShanghaiChallenger.html,QF,Yi Zhou,Yu Hsiou Hsu,26.5,73.5,3.77,1.36,Sackmann,2025-09-05 06:18:58 UTC
Shanghaichallenger,https://www.tennisabstract.com/current/2025ShanghaiChallenger.html,QF,Omar Jasika,Bernard Tomic,33.8,66.2,2.96,1.51,Sackmann,2025-09-05 06:18:58 UTC
Shanghaichallenger,https://www.tennisabstract.com/current/2025ShanghaiChallenger.html,QF,Yasutaka Uchiyama,Rio Noguchi,50.6,49.4,1.98,2.02,Sackmann,2025-09-05 06:18:58 UTC
Tullnchallenger,https://www.tennisabstract.com/current/2025TullnChallenger.html,QF,Joel Schwaerzler,Sumit Nagal,54.9,45.1,1.82,2.22,Sackmann,2025-09-05 06:18:58 UTC
Tullnchallenger,https://www.tennisabstract.com/current/2025TullnChallenger.html,QF,Marco Trungelliti,Sandro Kopp,69.0,31.0,1.45,3.23,Sackmann,2025-09-05 06:18:58 UTC
Tullnchallenger,https://www.tennisabstract.com/current/2025TullnChallenger.html,QF,Santiago Fa Rodriguez Taverna,Oleg Prihodko,65.1,34.9,1.54,2.87,Sackmann,2025-09-05 06:18:58 UTC
Tullnchallenger,https://www.tennisabstract.com/current/2025TullnChallenger.html,QF,Andrew Paulson,Francesco Maestrelli,26.2,73.8,3.82,1.36,Sackmann,2025-09-05 06:18:58 UTC
Istanbulchallenger,https://www.tennisabstract.com/current/2025IstanbulChallenger.html,QF,Milos Karol,Nicolas Mejia,36.1,63.9,2.77,1.56,Sackmann,2025-09-05 06:18:58 UTC
Istanbulchallenger,https://www.tennisabstract.com/current/2025IstanbulChallenger.html,QF,Luca Potenza,Calvin Hemery,19.6,80.4,5.1,1.24,Sackmann,2025-09-05 06:18:58 UTC
Istanbulchallenger,https://www.tennisabstract.com/current/2025IstanbulChallenger.html,QF,Abedallah Shelbayh,Alex Molcan,21.5,78.5,4.65,1.27,Sackmann,2025-09-05 06:18:58 UTC
Istanbulchallenger,https://www.tennisabstract.com/current/2025IstanbulChallenger.html,QF,Hugo Grenier,Stefanos Sakellaridis,57.8,42.2,1.73,2.37,Sackmann,2025-09-05 06:18:58 UTC
Cassischallenger,https://www.tennisabstract.com/current/2025CassisChallenger.html,QF,Daniil Glinka,Arthur Fery,20.1,79.9,4.98,1.25,Sackmann,2025-09-05 06:18:58 UTC
Cassischallenger,https://www.tennisabstract.com/current/2025CassisChallenger.html,QF,Jurij Rodionov,Valentin Vacherot,46.3,53.7,2.16,1.86,Sackmann,2025-09-05 06:18:58 UTC
Cassischallenger,https://www.tennisabstract.com/current/2025CassisChallenger.html,QF,Mae Malige,Billy Harris,20.1,79.9,4.98,1.25,Sackmann,2025-09-05 06:18:58 UTC
Cassischallenger,https://www.tennisabstract.com/current/2025CassisChallenger.html,QF,Justin Engel,Mark Lajal,19.9,80.1,5.03,1.25,Sackmann,2025-09-05 06:18:58 UTC
