TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atpcincinnati,QF,Ben Shelton,Alexander Zverev,41.5000,58.5000,,,2.4100,1.7100,,,,,,
Atpcincinnati,QF,Andrey Rublev,Carlos Alcaraz,17.2000,82.8000,,,5.8100,1.2100,,,,,,
Barranquillachallenger,SF,Juan Pablo Ficovich,Arthur Fery,45.6000,54.4000,,,2.1900,1.8400,,,,,,
Barranquillachallenger,SF,Bernard Tomic,Johan Alexander Rodriguez Rodriguez,82.8000,17.2000,,,1.2100,5.8100,,,,,,
Todichallenger,SF,Timofey Skatov,Valentin Vacherot,33.4000,66.6000,,,2.9900,1.5000,,,,,,
Todichallenger,SF,Stefano Travaglia,Juan Carlos Prado Angelo,65.6000,34.4000,,,1.5200,2.9100,,,,,,
Hersonissos3Challenger,SF,Rafael Jodar,Petr Brunclik,72.2000,27.8000,,,1.3900,3.6000,,,,,,
Hersonissos3Challenger,SF,Laurent Lokoli,Dan Added,66.1000,33.9000,,,1.5100,2.9500,,,,,,
Sofia1Challenger,SF,Nerman Fatic,Zdenek Kolar,63.0000,37.0000,,,1.5900,2.7000,,,,,,
Sofia1Challenger,SF,Murkel Alejandro Dellien Velasco,Dali Blanch,54.5000,45.5000,,,1.8300,2.2000,,,,,,
Cancunchallenger,R16,Ignacio Buse,Beibit Zhukayev,38.9000,61.1000,,,2.5700,1.6400,,,,,,
Cancunchallenger,R16,Jesper De Jong,Rodrigo Pacheco Mendez,82.6000,17.4000,,,1.2100,5.7500,,,,,,
Sumterscchallenger,QF,Mark Lajal,Jaime Faria,65.4000,34.6000,,,1.5300,2.8900,,,,,,
Sumterscchallenger,QF,Mattia Bellucci,Lukas Klein,44.5000,55.5000,,,2.2500,1.8000,,,,,,
Sumterscchallenger,QF,Shintaro Mochizuki,Filip Misolic,36.6000,63.4000,,,2.7300,1.5800,,,,,,
Sumterscchallenger,QF,Nikoloz Basilashvili,Alexander Shevchenko,52.2000,47.8000,,,1.9200,2.0900,,,,,,
