tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
Challenger Little Rock,"Galarneau, Alexis","Nakagawa, Naoki",1.24,3.5,2025-05-29 06:18:15 UTC
Challenger Little Rock,"Andrade, Andres","Kozlov, Stefan",2.4,1.48,2025-05-29 06:18:15 UTC
Challenger Little Rock,"Martin, Andres","Shimizu, Yuta",1.83,1.83,2025-05-29 06:18:15 UTC
Challenger Little Rock,"Miyoshi, Kenta","Milavsky, Daniel",1.45,2.49,2025-05-29 06:18:15 UTC
Challenger Little Rock,"Noguchi, Rio","Jubb, Paul",1.83,1.83,2025-05-29 06:18:15 UTC
Challenger Little Rock,"Soriano Barrera, Adria","Zheng, Michael",2.22,1.56,2025-05-29 06:18:15 UTC
Challenger Little Rock,"Maloney, Patrick","Draxl, Liam",3.1,1.3,2025-05-29 06:18:15 UTC
Challenger Little Rock,"Kypson, Patrick","Zink, Tyler",1.38,2.72,2025-05-29 06:18:15 UTC
ATP Open de France,"Lehecka, Jiri","Davidovich Fokina, Alejandro",2.05,1.72,2025-05-29 06:18:15 UTC
ATP Open de France,"Munar, Jaume","Fils, Arthur",4.5,1.18,2025-05-29 06:18:15 UTC
ATP Open de France,"De Minaur, Alex",Bublik Alexander,1.07,7.41,2025-05-29 06:18:15 UTC
ATP Open de France,"Rocha, Henrique","Mensik, Jakub",9.26,1.04,2025-05-29 06:18:15 UTC
ATP Open de France,"Zverev, Alexander","De Jong, Jesper",1.04,9.26,2025-05-29 06:18:15 UTC
ATP Open de France,Rublev Andrey,"Walton, Adam",1.01,12.59,2025-05-29 06:18:15 UTC
ATP Open de France,"Sinner, Jannik","Gasquet, Richard",1.01,12.59,2025-05-29 06:18:15 UTC
ATP Open de France,"Diallo, Gabriel","Griekspoor, Tallon",2.31,1.57,2025-05-29 06:18:15 UTC
ATP Open de France,"Shevchenko, Alexander","Quinn, Ethan",1.79,1.96,2025-05-29 06:18:15 UTC
ATP Open de France,"Cobolli, Flavio","Arnaldi, Matteo",1.72,2.05,2025-05-29 06:18:15 UTC
ATP Open de France,"Norrie, Cameron","Gomez, Federico Agustin",1.13,5.42,2025-05-29 06:18:15 UTC
ATP Open de France,Moutet Corentin,"Djokovic, Novak",8.54,1.05,2025-05-29 06:18:15 UTC
ATP Open de France,"Fonseca, Joao","Herbert, Pierre-Hugues",1.04,9.26,2025-05-29 06:18:15 UTC
ATP Open de France,"Shapovalov, Denis","Misolic, Filip",1.56,2.33,2025-05-29 06:18:15 UTC
ATP Open de France,"Fearnley, Jacob","Humbert, Ugo",2.08,1.7,2025-05-29 06:18:15 UTC
ATP Open de France,"Monfils, Gaël","Draper, Jack",5.0,1.15,2025-05-29 06:18:15 UTC
ATP Open de France,"Musetti, Lorenzo","Navone, Mariano",1.13,5.42,2025-05-29 06:18:15 UTC
ATP Open de France,"Borges, Nuno","Popyrin, Alexei",2.01,1.75,2025-05-29 06:18:15 UTC
ATP Open de France,"Medjedovic, Hamad","Altmaier, Daniel",1.49,2.51,2025-05-29 06:18:15 UTC
ATP Open de France,"Dzumhur, Damir","Alcaraz Garfia, Carlos",12.59,1.01,2025-05-29 06:18:15 UTC
Challenger Chisinau,"Samuel, Toby","Albot, Radu",2.03,1.67,2025-05-29 06:18:15 UTC
Challenger Chisinau,"Giustino, Lorenzo","Parker, Stuart",1.85,1.81,2025-05-29 06:18:15 UTC
Challenger Chisinau,"Chidekh, Clement","Pieczkowski, Olaf",1.42,2.58,2025-05-29 06:18:15 UTC
Challenger Chisinau,"Simakin, Ilia","Henning, Philip",1.39,2.68,2025-05-29 06:18:15 UTC
Challenger Chisinau,"Ilkel, Cem","Bar Biryukov, Petr",1.77,1.9,2025-05-29 06:18:15 UTC
Challenger Chisinau,"Karlovskiy, Evgeny","Strombachs, Robert",2.22,1.56,2025-05-29 06:18:15 UTC
Challenger Chisinau,"Imamura, Masamic.","Hussey, Giles",2.76,1.37,2025-05-29 06:18:15 UTC
Challenger Chisinau,"Yevseyev, Denis","Uchida, Kaichi",1.3,3.1,2025-05-29 06:18:15 UTC
ATP Roland-Garros Face à Face,"Paul, Tommy","De Minaur, Alex",1.77,1.89,2025-05-29 06:18:15 UTC
ATP Roland-Garros Face à Face,"Rune, Holger","Draper, Jack",1.33,2.93,2025-05-29 06:18:15 UTC
ATP Roland-Garros Face à Face,"Alcaraz, Carlos","Sinner, Jannik",1.33,2.93,2025-05-29 06:18:15 UTC
ATP Roland-Garros Face à Face,"Musetti, Lorenzo","Djokovic, Novak",2.1,1.62,2025-05-29 06:18:15 UTC
Challenger Vicenza,"Schwaerzler, Joel","Cecchinato, Marco",1.66,2.04,2025-05-29 06:18:15 UTC
Challenger Vicenza,"Mena, Facundo","Hsu, Yu Hsiou",1.35,2.85,2025-05-29 06:18:15 UTC
Challenger Vicenza,"Tseng, Chun Hsin","Bondioli, Federico",1.18,4.09,2025-05-29 06:18:15 UTC
Challenger Vicenza,"Rodesch, Chris","Klizan, Martin",1.34,2.89,2025-05-29 06:18:15 UTC
Challenger Vicenza,"Neumayer, Lukas","Buse, Ignacio",1.99,1.7,2025-05-29 06:18:15 UTC
Challenger Vicenza,"Ajdukovic, Duje","Kym, Jérôme",2.58,1.42,2025-05-29 06:18:15 UTC
