TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atptoronto,R32,Alexander Zverev,Matteo Arnaldi,77.6000,22.4000,,,1.2900,4.4600,,,,,,
Atptoronto,R32,Tomas Martin Etcheverry,Francisco Cerundolo,26.2000,73.8000,,,3.8200,1.3600,,,,,,
Atptoronto,R32,Daniil Medvedev,Alexei Popyrin,74.0000,26.0000,,,1.3500,3.8500,,,,,,
Atptoronto,R32,Alexandre Muller,Holger Rune,22.7000,77.3000,,,4.4100,1.2900,,,,,,
Portochallenger,R16,Frederico Ferreira Silva,Moez Echargui,54.4000,45.6000,,,1.8400,2.1900,,,,,,
Portochallenger,R16,Edas Butvilas,Luca Van Assche,39.9000,60.1000,,,2.5100,1.6600,,,,,,
Lexingtonchallenger,R16,Daniel Evans,Michael Zheng,72.7000,27.3000,,,1.3800,3.6600,,,,,,
Lexingtonchallenger,R16,Yu Hsiou Hsu,Christopher Eubanks,44.1000,55.9000,,,2.2700,1.7900,,,,,,
Lexingtonchallenger,QF,Giles Hussey,Bernard Tomic,37.1000,62.9000,,,2.7000,1.5900,,,,,,
Hagenchallenger,R16,Botic Van De Zandschulp,Daniel Masur,83.8000,16.2000,,,1.1900,6.1700,,,,,,
Hagenchallenger,R16,Christoph Negritu,Guy Den Ouden,21.5000,78.5000,,,4.6500,1.2700,,,,,,
Hagenchallenger,R16,Jerome Kym,Marco Cecchinato,61.8000,38.2000,,,1.6200,2.6200,,,,,,
Hagenchallenger,R16,Sumit Nagal,Niels Mcdonald,80.4000,19.6000,,,1.2400,5.1000,,,,,,
Astanachallenger,R16,Clement Chidekh,Mitsuki Wei Kang Leong,88.1000,11.9000,,,1.1400,8.4000,,,,,,
Astanachallenger,R16,Woobin Shin,Abedallah Shelbayh,37.8000,62.2000,,,2.6500,1.6100,,,,,,
Astanachallenger,QF,Shintaro Imai,Aleksandre Bakshi,54.5000,45.5000,,,1.8300,2.2000,,,,,,
