tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Wimbledon Qualification,"Mccabe, James","Burruchaga, Roman Andres",1.52,2.36,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Riedi, Leandro","Gomez, Federico Agustin",1.2,4.04,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Skatov, Timofey","Blockx, Alexander",3.04,1.33,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Pavlovic, Luka","Trotter, James Kent",3.27,1.29,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Van Assche, Luca","Stewart, Hamish",1.2,4.04,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,Kukushkin Mikhail,"Holmgren, August",1.3,3.21,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Tarvet, Oliver","Galarneau, Alexis",1.5,2.41,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Barrios Vera, Marcelo Tomas","Rocha, Henrique",1.4,2.73,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Smith, Colton","Watanuki, Yosuke",1.59,2.21,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Zhukayev, Beibit","Hanfmann, Yannick",3.64,1.24,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Peniston, Ryan","Landaluce, Martin",2.32,1.54,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Spizzirri, Eliot","Bolt, Alex",3.21,1.3,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Zeppieri, Giulio","Jubb, Paul",2.09,1.66,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Fucsovics, Marton","Svajda, Zachary",1.38,2.81,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,Garin Christian,Habib Hady,1.1,5.82,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Lajal, Mark","Rodesch, Chris",1.36,2.89,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Budkov Kjaer, Nicolai","Mannarino, Adrian",3.04,1.33,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Daniel, Taro","Droguet, Titouan",3.21,1.3,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Schoolkate, Tristan","Hassan, Benjamin",1.34,2.99,2025-06-25 06:19:21 UTC
ATP Wimbledon Qualification,"Royer, Valentin","Uchiyama, Yasutaka",1.63,2.14,2025-06-25 06:19:21 UTC
ATP Eastbourne,"Sonego, Lorenzo","Humbert, Ugo",2.36,1.52,2025-06-25 06:19:21 UTC
ATP Eastbourne,"Borges, Nuno","Brooksby, Jenson",1.75,1.96,2025-06-25 06:19:21 UTC
ATP Eastbourne,"Mensik, Jakub","Opelka, Reilly",1.57,2.25,2025-06-25 06:19:21 UTC
ATP Eastbourne,"Harris, Billy","Bellucci, Mattia",2.25,1.57,2025-06-25 06:19:21 UTC
ATP Eastbourne,"Duckworth, James","Davidovich Fokina, Alejandro",2.41,1.5,2025-06-25 06:19:21 UTC
ATP Eastbourne,"Evans, Daniel","Paul, Tommy",3.04,1.33,2025-06-25 06:19:21 UTC
ATP Eastbourne,Giron Marcos,"Fearnley, Jacob",2.47,1.48,2025-06-25 06:19:21 UTC
ATP Eastbourne,"Fritz, Taylor","Fonseca, Joao",1.36,2.89,2025-06-25 06:19:21 UTC
ATP Majorque,Moutet Corentin,"Altmaier, Daniel",1.46,2.52,2025-06-25 06:19:21 UTC
ATP Majorque,"Michelsen, Alex","Holt, Brandon",1.35,2.94,2025-06-25 06:19:21 UTC
ATP Majorque,"Shelton, Ben","Tien, Learner",1.26,3.48,2025-06-25 06:19:21 UTC
ATP Majorque,"Tomic, Bernard","Bautista Agut, Roberto",3.73,1.23,2025-06-25 06:19:21 UTC
ATP Majorque,"Diallo, Gabriel","Griekspoor, Tallon",1.9,1.8,2025-06-25 06:19:21 UTC
ATP Majorque,"Medjedovic, Hamad","Auger-Aliassime, Félix",2.69,1.41,2025-06-25 06:19:21 UTC
Challenger Lima,"Prado Angelo, Juan Carlos","Jones, Maximus",1.19,3.97,2025-06-25 06:19:21 UTC
Challenger Lima,"Olivieri, Genaro Alberto","Bicknell, Blaise",1.28,3.22,2025-06-25 06:19:21 UTC
Challenger Lima,"Blanch, Dali","Tobon, Miguel",1.34,2.89,2025-06-25 06:19:21 UTC
Challenger Lima,"Midon, Lautaro","Boscardin Dias, Pedro",1.42,2.58,2025-06-25 06:19:21 UTC
Challenger Lima,"Mejia, Nicolas","Rodrigues, Pedro (2006)",1.32,2.99,2025-06-25 06:19:21 UTC
Challenger Lima,"Villanueva, Gonzalo","Pucinelli De Almeida, Matheus",2.72,1.38,2025-06-25 06:19:21 UTC
Challenger Lima,"Bueno, Gonzalo",Casanova Hernan,1.78,1.89,2025-06-25 06:19:21 UTC
Challenger Milan,"Prizmic, Dino","Berrettini, Jacopo",1.2,3.87,2025-06-25 06:19:21 UTC
Challenger Milan,"Pereira, Tiago","Jodar, Rafael",2.55,1.43,2025-06-25 06:19:21 UTC
Challenger Milan,"Gea, Arthur","Roca Batalla, Oriol",1.83,1.83,2025-06-25 06:19:21 UTC
Challenger Milan,"Negritu, Christoph","Gakhov, Ivan",2.43,1.47,2025-06-25 06:19:21 UTC
Challenger Milan,"Prihodko, Oleg","Mikrut, Luka",2.4,1.48,2025-06-25 06:19:21 UTC
Challenger Milan,"Faurel, Thomas","Houkes, Max",2.43,1.47,2025-06-25 06:19:21 UTC
Challenger Milan,"Ferreira Silva, Frederico","Cecchinato, Marco",2.35,1.5,2025-06-25 06:19:21 UTC
Challenger Milan,"Poljicak, Mili","Vasami, Jacopo",2.35,1.5,2025-06-25 06:19:21 UTC
