TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atpbasel,R32,Taylor Fritz,Valentin Vacherot,75.3000,24.7000,,,1.3300,4.0500,,,,,,
Atpbasel,R32,Sebastian Korda,Ugo Humbert,47.2000,52.8000,,,2.1200,1.8900,,,,,,
Atpbasel,R32,Botic Van De Zandschulp,Jiri Lehecka,22.0000,78.0000,,,4.5500,1.2800,,,,,,
Atpvienna,R32,Jannik Sinner,Daniel Altmaier,95.5000,4.5000,,,1.0500,22.2200,,,,,,
Atpvienna,R32,Tomas Machac,Flavio Cobolli,62.5000,37.5000,,,1.6000,2.6700,,,,,,
Costadosauipechallenger,R32,Mariano Navone,Hady Habib,80.7000,19.3000,,,1.2400,5.1800,,,,,,
Costadosauipechallenger,R32,Pedro Boscardin Dias,Juan Pablo Ficovich,43.4000,56.6000,,,2.3000,1.7700,,,,,,
Costadosauipechallenger,R32,Luis Guto Miguel,Andrea Collarini,25.3000,74.7000,,,3.9500,1.3400,,,,,,
Costadosauipechallenger,R32,Genaro Alberto Olivieri,Cristian Garin,25.4000,74.6000,,,3.9400,1.3400,,,,,,
Siouxfallschallenger,R16,Jordan Thompson,Erik Arutiunian,91.5000,8.5000,,,1.0900,11.7600,,,,,,
Siouxfallschallenger,R16,Mats Rosenkranz,Murphy Cassone,37.5000,62.5000,,,2.6700,1.6000,,,,,,
Siouxfallschallenger,R16,Liam Draxl,Andres Martin,69.5000,30.5000,,,1.4400,3.2800,,,,,,
Siouxfallschallenger,R16,Alfredo Perez,Johannus Monday,54.6000,45.4000,,,1.8300,2.2000,,,,,,
Brestchallenger,R16,Clement Tabur,Mae Malige,44.1000,55.9000,,,2.2700,1.7900,,,,,,
Brestchallenger,R16,Arthur Bouquier,Alexis Galarneau,39.5000,60.5000,,,2.5300,1.6500,,,,,,
Suzhouchallenger,R16,Yoshihito Nishioka,Renta Tokuda,91.2000,8.8000,,,1.1000,11.3600,,,,,,
Suzhouchallenger,R16,Frederico Ferreira Silva,Ilia Simakin,40.4000,59.6000,,,2.4800,1.6800,,,,,,
Hamburgchallenger,R32,Jannik Opitz,Alejandro Moro Canas,29.0000,71.0000,,,3.4500,1.4100,,,,,,
