tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Cincinnati Qualification,"Royer, Valentin","Draxl, Liam",2.0,1.72,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,"Fery, Arthur","Landaluce, Martin",2.16,1.62,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,"Wong, Coleman","Mochizuki, Shintaro",1.82,1.88,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,"Shevchenko, Alexander","Galan, Daniel Elahi",1.63,2.14,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,"Riedi, Leandro","Harris, Lloyd",1.8,1.9,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,Kukushkin Mikhail,"Nava, Emilio",3.73,1.23,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,"Smith, Colton","Basilashvili, Nikoloz",1.62,2.16,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,"Nardi, Luca","Blockx, Alexander",1.75,1.96,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,"Tu, Li","Atmane, Terence",1.85,1.85,2025-08-06 06:23:24 UTC
ATP Cincinnati Qualification,"Mannarino, Adrian","Svrcina, Dalibor",1.68,2.06,2025-08-06 06:23:24 UTC
ATP Toronto,"Zverev, Alexander","Khachanov, Karen",1.38,2.9,2025-08-06 06:23:24 UTC
ATP Toronto,"Shelton, Ben","Fritz, Taylor",2.25,1.6,2025-08-06 06:23:24 UTC
Challenger Chicago,"Sell, Karue","Hsu, Yu Hsiou",2.41,1.5,2025-08-06 06:23:24 UTC
Challenger Chicago,"Zhukayev, Beibit","Svajda, Trevor",1.51,2.39,2025-08-06 06:23:24 UTC
Challenger Chicago,"Bolt, Alex","Johns, Garrett",1.33,3.04,2025-08-06 06:23:24 UTC
Challenger Chicago,"Wu, Yibing","Nakagawa, Naoki",1.04,8.37,2025-08-06 06:23:24 UTC
Challenger Chicago,"Zheng, Michael","Zhou, Yi",1.51,2.39,2025-08-06 06:23:24 UTC
Challenger Chicago,"Banerjee, Samir",Habib Hady,2.27,1.56,2025-08-06 06:23:24 UTC
Challenger Chicago,"Holmgren, August","Ghibaudo, Antoine",1.27,3.41,2025-08-06 06:23:24 UTC
Challenger Bonn,"Jianu, Filip Cri.","Skatov, Timofey",2.89,1.36,2025-08-06 06:23:24 UTC
Challenger Bonn,"Milev, Yanaki","Moller, Elmer",7.77,1.05,2025-08-06 06:23:24 UTC
Challenger Bonn,"Rosenkranz, Mats","Midon, Lautaro",2.94,1.35,2025-08-06 06:23:24 UTC
Challenger Bonn,"Mackenzie, Jamie","Rodionov, Jurij",2.73,1.4,2025-08-06 06:23:24 UTC
Challenger Bonn,Blancaneaux Geoffrey,"Reis Da Silva, Joao Lucas",1.72,2.0,2025-08-06 06:23:24 UTC
Challenger Bonn,"Schwaerzler, Joel","Coria, Federico",2.59,1.44,2025-08-06 06:23:24 UTC
Challenger Bonn,"Kym, Jérôme","Collignon, Raphaël",2.25,1.57,2025-08-06 06:23:24 UTC
Challenger Bonn,"Gaubas, Vilius","Krumich, Martin",1.18,4.28,2025-08-06 06:23:24 UTC
Challenger Cordenons,"Pereira, Tiago","Stebe, Cedrik-Marcel",1.65,2.11,2025-08-06 06:23:24 UTC
Challenger Cordenons,"Vacherot, Valentin","Piros, Zsombor",2.07,1.67,2025-08-06 06:23:24 UTC
Challenger Cordenons,"Rodriguez Taverna, Santiago","Sanchez Jover, Carlos",1.57,2.25,2025-08-06 06:23:24 UTC
Challenger Cordenons,"Caniato, Carlo Alberto","Lajovic, Dusan",4.28,1.18,2025-08-06 06:23:24 UTC
Challenger Cordenons,"Neumayer, Lukas","Piraino, Gabriele",1.47,2.5,2025-08-06 06:23:24 UTC
Challenger Cordenons,"Bueno, Gonzalo","Clarke, Jay",1.7,2.03,2025-08-06 06:23:24 UTC
Challenger Cordenons,"Taberner, Carlos","Alcala Gurri, Max",1.19,4.16,2025-08-06 06:23:24 UTC
Challenger Grodzisk Mazowiecki,"Binda, Alexandr","Cui, Jie",2.69,1.41,2025-08-06 06:23:24 UTC
Challenger Grodzisk Mazowiecki,"Maestrelli, Francesco","Engel, Justin",1.48,2.47,2025-08-06 06:23:24 UTC
Challenger Grodzisk Mazowiecki,Majchrzak Kamil,"Berkieta, Tomasz",1.12,5.32,2025-08-06 06:23:24 UTC
Challenger Grodzisk Mazowiecki,"Pieczkowski, Olaf","Prizmic, Dino",6.11,1.09,2025-08-06 06:23:24 UTC
Challenger Grodzisk Mazowiecki,"Glinka, Daniil","Kasnikowski, Maks",2.41,1.5,2025-08-06 06:23:24 UTC
Challenger Grodzisk Mazowiecki,"Brunclik, Petr","Zeppieri, Giulio",2.59,1.44,2025-08-06 06:23:24 UTC
Challenger Grodzisk Mazowiecki,"Blanchet, Ugo","Hüsler, Marc-Andrea",2.11,1.65,2025-08-06 06:23:24 UTC
