TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atpwashington,QF,Taylor Fritz,Alejandro Davidovich Fokina,71.7000,28.3000,,,1.3900,3.5300,,,,,,
Zugchallenger,SF,Stefanos Sakellaridis,Harold Mayot,33.1000,66.9000,,,3.0200,1.4900,,,,,,
Zugchallenger,SF,Jakub Paul,Lukas Klein,11.0000,89.0000,,,9.0900,1.1200,,,,,,
Bloomfieldhillschallenger,SF,Yu Hsiou Hsu,Mark Lajal,38.2000,61.8000,,,2.6200,1.6200,,,,,,
Bloomfieldhillschallenger,SF,Eliot Spizzirri,Andres Martin,69.3000,30.7000,,,1.4400,3.2600,,,,,,
Segoviachallenger,SF,Aryan Shah,Nicolas Alvarez Varona,51.8000,48.2000,,,1.9300,2.0700,,,,,,
Segoviachallenger,SF,Edas Butvilas,George Loffhagen,58.6000,41.4000,,,1.7100,2.4200,,,,,,
Tamperechallenger,SF,Sumit Nagal,Sascha Gueymard Wayenburg,75.3000,24.7000,,,1.3300,4.0500,,,,,,
Tamperechallenger,SF,Hynek Barton,Nicolai Budkov Kjaer,35.4000,64.6000,,,2.8200,1.5500,,,,,,
