tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
Challenger Chicago,Wu Tung Lin,"Rybakov, Alex",1.83,1.83,2025-08-05 06:22:23 UTC
Challenger Chicago,"Tobon, Miguel","Sell, Karue",3.87,1.2,2025-08-05 06:22:23 UTC
Challenger Chicago,"Kang, Kyle",Habib Hady,3.1,1.3,2025-08-05 06:22:23 UTC
Challenger Chicago,"Pacheco Mendez, Rodrigo","Zheng, Michael",2.58,1.42,2025-08-05 06:22:23 UTC
Challenger Chicago,"Holmgren, August","King, Darian",1.14,4.91,2025-08-05 06:22:23 UTC
Challenger Chicago,"Dostanic, Stefan","Tomic, Bernard",2.24,1.55,2025-08-05 06:22:23 UTC
ATP Toronto,Rublev Andrey,"Fritz, Taylor",2.7,1.43,2025-08-05 06:22:23 UTC
ATP Toronto,"De Minaur, Alex","Shelton, Ben",1.53,2.4,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Berkieta, Tomasz","Soto, Matias",2.41,1.5,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Engel, Justin","Moro Canas, Alejandro",2.59,1.44,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Glinka, Daniil","Albot, Radu",1.9,1.8,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Hemery, Calvin","Brunclik, Petr",1.54,2.32,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Kasnikowski, Maks",Grenier Hugo,2.29,1.55,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Maestrelli, Francesco","Jones, Maximus",1.26,3.48,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Jacquet, Kyrian","Cina, Federico",2.0,1.72,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Chidekh, Clement","Mayot, Harold",2.34,1.53,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Monday, Johannus","Zeppieri, Giulio",2.11,1.65,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Shelbayh, Abdullah","Blanchet, Ugo",2.73,1.4,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Jodar, Rafael","Hüsler, Marc-Andrea",1.85,1.85,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Binda, Alexandr","Cui, Jie",2.11,1.65,2025-08-05 06:22:23 UTC
Challenger Grodzisk Mazowiecki,"Pieczkowski, Olaf","Prizmic, Dino",4.91,1.14,2025-08-05 06:22:23 UTC
Challenger Bonn,"Choinski, Jan",Blancaneaux Geoffrey,1.36,2.89,2025-08-05 06:22:23 UTC
Challenger Bonn,"Boscardin Dias, Pedro","Midon, Lautaro",1.85,1.85,2025-08-05 06:22:23 UTC
Challenger Bonn,"Villanueva, Gonzalo","Moller, Elmer",4.57,1.16,2025-08-05 06:22:23 UTC
Challenger Bonn,"Reis Da Silva, Joao Lucas","Wallin, Olle",1.42,2.65,2025-08-05 06:22:23 UTC
Challenger Bonn,"Mcdonald, Niels","Milev, Yanaki",1.29,3.27,2025-08-05 06:22:23 UTC
Challenger Bonn,"Kym, Jérôme","Yevseyev, Denis",1.18,4.28,2025-08-05 06:22:23 UTC
Challenger Bonn,"Krumich, Martin","Zahraj, Patrick",1.57,2.25,2025-08-05 06:22:23 UTC
Challenger Bonn,"Cecchinato, Marco","Coria, Federico",1.9,1.8,2025-08-05 06:22:23 UTC
Challenger Bonn,"Schwaerzler, Joel","Negritu, Christoph",1.57,2.25,2025-08-05 06:22:23 UTC
Challenger Bonn,"Fajta, Peter","Collignon, Raphaël",5.82,1.1,2025-08-05 06:22:23 UTC
Challenger Bonn,"Gaubas, Vilius","Dedura-Palomero, Diego",1.53,2.34,2025-08-05 06:22:23 UTC
Challenger Bonn,"Mackenzie, Jamie","Rodionov, Jurij",2.34,1.53,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Caniato, Carlo Alberto","Paulson, Andrew",1.47,2.5,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Rodriguez Taverna, Santiago","Sanchez-Izquierdo, Nikolas",1.99,1.73,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Sanchez Jover, Carlos","Vrbensky, Michael",1.71,2.02,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Kolar, Zdenek","Piros, Zsombor",3.64,1.24,2025-08-05 06:22:23 UTC
Challenger Cordenons,"De Krom, Michiel","Vacherot, Valentin",7.27,1.06,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Torres, Juan Bautista","Clarke, Jay",1.83,1.87,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Alcala Gurri, Max","Giustino, Lorenzo",1.66,2.09,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Piraino, Gabriele","Sels, Jelle",1.57,2.25,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Bueno, Gonzalo","Nijboer, Ryan",1.37,2.85,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Neumayer, Lukas","Kestelboim, Mariano",1.23,3.73,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Prihodko, Oleg","Travaglia, Stefano",2.27,1.56,2025-08-05 06:22:23 UTC
Challenger Cordenons,"Taberner, Carlos","Bondioli, Federico",1.21,3.93,2025-08-05 06:22:23 UTC
