TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Newportchallenger,R16,Brandon Holt,Zachary Svajda,54.7000,45.3000,47.7089,52.2911,1.8300,2.2100,1.9400,1.7700,0.1100,-0.4400,0.0601,-0.1991
Newportchallenger,R16,Oscar Weightman,Yosuke Watanuki,21.9000,78.1000,11.0521,88.9479,4.5700,1.2800,8.3700,1.0400,3.8000,-0.2400,0.8315,-0.1875
Newportchallenger,R16,Tristan Schoolkate,James Mccabe,75.0000,25.0000,,,1.3300,4.0000,,,,,,
Braunschweigchallenger,SF,Filip Misolic,Mariano Navone,51.5000,48.5000,42.5926,57.4074,1.9400,2.0600,2.1700,1.6100,0.2300,-0.4500,0.1186,-0.2184
Braunschweigchallenger,SF,Juan Manuel Cerundolo,Alex Molcan,59.4000,40.6000,61.6368,38.3632,1.6800,2.4600,1.5000,2.4100,-0.1800,-0.0500,-0.1071,-0.0203
Triestechallenger,QF,Sumit Nagal,Maxim Mrva,64.7000,35.3000,,,1.5500,2.8300,,,,,,
Triestechallenger,QF,Matej Dodig,Lukas Neumayer,27.2000,72.8000,37.9135,62.0865,3.6800,1.3700,2.4400,1.4900,-1.2400,0.1200,-0.3370,0.0876
Triestechallenger,QF,Facundo Diaz Acosta,Stefano Travaglia,76.2000,23.8000,68.5315,31.4685,1.3100,4.2000,1.3500,2.9400,0.0400,-1.2600,0.0305,-0.3000
Triestechallenger,QF,Thiago Agustin Tirante,Santiago Fa Rodriguez Taverna,66.3000,33.7000,,,1.5100,2.9700,,,,,,
Iasichallenger,QF,Titouan Droguet,Joao Lucas Reis Da Silva,74.5000,25.5000,,,1.3400,3.9200,,,,,,
Iasichallenger,QF,Murkel Alejandro Dellien Velasco,Duje Ajdukovic,39.7000,60.3000,,,2.5200,1.6600,,,,,,
Iasichallenger,QF,Francesco Maestrelli,Elmer Moller,31.7000,68.3000,,,3.1500,1.4600,,,,,,
Iasichallenger,QF,Stan Wawrinka,Radu Albot,72.5000,27.5000,,,1.3800,3.6400,,,,,,
Winnipegchallenger,QF,Alexander Blockx,Yuta Shimizu,71.7000,28.3000,,,1.3900,3.5300,,,,,,
Winnipegchallenger,QF,Sho Shimabukuro,Yu Hsiou Hsu,51.2000,48.8000,58.9005,41.0995,1.9500,2.0500,1.5700,2.2500,-0.3800,0.2000,-0.1949,0.0976
Winnipegchallenger,QF,Andres Andrade,Yi Zhou,64.9000,35.1000,53.7634,46.2366,1.5400,2.8500,1.7200,2.0000,0.1800,-0.8500,0.1169,-0.2982
Winnipegchallenger,QF,Rio Noguchi,Liam Draxl,34.8000,65.2000,28.8248,71.1752,2.8700,1.5300,3.2100,1.3000,0.3400,-0.2300,0.1185,-0.1503
Nottingham3Challenger,QF,Kyle Edmund,Patrick Zahraj,66.2000,33.8000,54.1555,45.8445,1.5100,2.9600,1.7100,2.0200,0.2000,-0.9400,0.1325,-0.3176
Nottingham3Challenger,QF,Ryan Peniston,Hamish Stewart,56.2000,43.8000,65.6098,34.3902,1.7800,2.2800,1.4100,2.6900,-0.3700,0.4100,-0.2079,0.1798
Nottingham3Challenger,QF,Alastair Gray,Oliver Crawford,38.2000,61.8000,,,2.6200,1.6200,,,,,,
Nottingham3Challenger,QF,Jack Pinnington Jones,Edward Winter,73.7000,26.3000,73.4177,26.5823,1.3600,3.8000,1.2600,3.4800,-0.1000,-0.3200,-0.0735,-0.0842
