ResultDate,TournamentKey,Round,WinnerName,LoserName,WinnerNameKey,LoserNameKey,Score,TournamentName
2025-09-16,2025badwaltersdorf,R32,Jan Choinski,Vitaliy Sachko,janchoinski,vitaliysachko,6-1 6-4,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,R32,Francesco Passaro,Dusan Lajovic,francescopassaro,dusanlajovic,6-1 5-7 6-4,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,R32,Thiago Monteiro,Daniel Merida Aguilar,thiagomonteiro,danielmeridaaguilar,6-3 6-1,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,R32,Sandro Kopp,Elias Ymer,sandrokopp,eliasymer,6-4 6-4,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q2,Zdenek Kolar,Neil Oberleitner,zdenekkolar,neiloberleitner,6-1 6-2,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q2,Jozef Kovalik,Marvin Moeller,jozefkovalik,marvinmoeller,6-2 7-5,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q2,Marko Topo,Cedrik Marcel Stebe,markotopo,cedrikmarcelstebe,6-4 6-3,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q2,Hynek Barton,Matthew William Donald,hynekbarton,matthewwilliamdonald,6-3 6-3,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q2,Tadeas Paroulek,Michael Vrbensky,tadeasparoulek,michaelvrbensky,6-4 6-1,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q2,Dennis Novak,Gabriele Piraino,dennisnovak,gabrielepiraino,4-6 6-3 3-0 RET,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Zdenek Kolar,Mykyta Mashtakov,zdenekkolar,mykytamashtakov,6-2 6-2,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Neil Oberleitner,Alex Huszar,neiloberleitner,alexhuszar,6-1 6-3,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Jozef Kovalik,Marco Cecchinato,jozefkovalik,marcocecchinato,7-6(3) 6-2,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Marvin Moeller,Nico Hipfl,marvinmoeller,nicohipfl,7-6(8) 7-5,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Marko Topo,Janis Graski,markotopo,janisgraski,6-0 6-1,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Cedrik Marcel Stebe,Matyas Cerny,cedrikmarcelstebe,matyascerny,7-5 7-6(0),Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Hynek Barton,Stijn Slump,hynekbarton,stijnslump,6-1 6-4,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Michael Vrbensky,Robert Strombachs,michaelvrbensky,robertstrombachs,6-3 6-3,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Tadeas Paroulek,Orlando Luz,tadeasparoulek,orlandoluz,7-6(1) 5-5 RET,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Gabriele Piraino,Gregor Ramskogler,gabrielepiraino,gregorramskogler,7-5 6-4,Badwaltersdorfchallenger
2025-09-16,2025badwaltersdorf,Q1,Dennis Novak,Syl Gaxherri,dennisnovak,sylgaxherri,6-2 7-6(4),Badwaltersdorfchallenger
2025-09-16,2025sainttropez,R32,Dan Added,Kyrian Jacquet,danadded,kyrianjacquet,6-2 6-4,Saint Tropezchallenger
2025-09-16,2025sainttropez,R32,Mae Malige,Michael Mmoh,maemalige,michaelmmoh,6-4 6-4,Saint Tropezchallenger
2025-09-16,2025sainttropez,Q2,Rodrigo Pacheco Mendez,Nikolay Vylegzhanin,rodrigopachecomendez,nikolayvylegzhanin,6-4 6-3,Saint Tropezchallenger
2025-09-16,2025sainttropez,Q2,Trey Hilderbrand,Aryan Shah,treyhilderbrand,aryanshah,7-6(5) 6-4,Saint Tropezchallenger
2025-09-16,2025sainttropez,Q2,Tom Paris,Maxime Janvier,tomparis,maximejanvier,6-3 7-6(7),Saint Tropezchallenger
2025-09-16,2025sainttropez,Q2,Etienne Donnet,Florent Bax,etiennedonnet,florentbax,7-6(2) 2-6 6-3,Saint Tropezchallenger
2025-09-16,2025sainttropez,Q2,Alexey Vatutin,Louis Tessa,alexeyvatutin,louistessa,6-4 1-6 6-1,Saint Tropezchallenger
2025-09-16,2025sainttropez,Q2,Luca Potenza,Michael Geerts,lucapotenza,michaelgeerts,5-7 7-6(4) 6-2,Saint Tropezchallenger
2025-09-16,2025sainttropez,Q1,Rodrigo Pacheco Mendez,Aidan Mchugh,rodrigopachecomendez,aidanmchugh,3-6 7-6(7) 7-6(4),Saint Tropezchallenger
2025-09-16,2025sainttropez,Q1,Nikolay Vylegzhanin,Felix Corwin,nikolayvylegzhanin,felixcorwin,6-4 6-4,Saint Tropezchallenger
2025-09-16,2025sainttropez,Q1,Trey Hilderbrand,Maxence Bertimon,treyhilderbrand,maxencebertimon,6-1 7-5,Saint Tropezchallenger
