TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atprome,R16,Jannik Sinner,Francisco Cerundolo,59.1000,40.9000,,,1.6900,2.4400,,,,,,
Atprome,R16,Jaume Munar,Casper Ruud,15.3000,84.7000,,,6.5400,1.1800,,,,,,
Atprome,R16,Hubert Hurkacz,Jakub Mensik,55.0000,45.0000,,,1.8200,2.2200,,,,,,
Atprome,R16,Tommy Paul,Alex De Minaur,46.8000,53.2000,,,2.1400,1.8800,,,,,,
Oeiras5Challenger,R32,Daniel Merida Aguilar,Alexey Vatutin,42.1000,57.9000,,,2.3800,1.7300,,,,,,
Oeiras5Challenger,R32,Carlos Taberner,Pedro Cachin,59.4000,40.6000,,,1.6800,2.4600,,,,,,
Oeiras5Challenger,R32,Juan Pablo Ficovich,Leandro Riedi,30.6000,69.8000,,,3.2700,1.4300,,,,,,
Tunischallenger,R32,Moez Echargui,James Watt,61.5000,38.5000,,,1.6300,2.6000,,,,,,
Tunischallenger,R32,Filip Cristian Jianu,Maxim Mrva,43.4000,56.6000,,,2.3000,1.7700,,,,,,
Zagrebchallenger,R32,Gauthier Onclin,Luka Pavlovic,42.6000,57.4000,,,2.3500,1.7400,,,,,,
Zagrebchallenger,R32,Mili Poljicak,Nerman Fatic,48.5000,51.5000,,,2.0600,1.9400,,,,,,
Bogotachallenger,R32,Nicolas Mejia,Peter Bertran,70.8000,29.2000,,,1.4100,3.4200,,,,,,
Bogotachallenger,R32,Pedro Rodrigues,Franco Roncadelli,51.0000,49.0000,,,1.9600,2.0400,,,,,,
Bogotachallenger,R32,Bruno Kuzuhara,Lorenzo Joaquin Rodriguez,56.5000,43.5000,,,1.7700,2.3000,,,,,,
Bogotachallenger,R32,Ignacio Monzon,Nicolas Alvarez Varona,22.9000,77.1000,,,4.3700,1.3000,,,,,,
Bordeauxchallenger,R32,Mikhail Kukushkin,Pavel Kotov,41.9000,58.1000,,,2.3900,1.7200,,,,,,
Bordeauxchallenger,R32,Stan Wawrinka,Billy Harris,83.4000,16.6000,,,1.2000,6.0200,,,,,,
Bordeauxchallenger,R32,Terence Atmane,Daniel Elahi Galan,46.5000,53.5000,,,2.1500,1.8700,,,,,,
Bordeauxchallenger,R32,Sumit Nagal,Hugo Gaston,36.1000,63.9000,,,2.7700,1.5600,,,,,,
Turinchallenger,R32,Andrea Collarini,Marc Andrea Huesler,31.1000,68.9000,,,3.2200,1.4500,,,,,,
Turinchallenger,R32,Juan Manuel Cerundolo,Federico Cina,83.9000,16.1000,,,1.1900,6.2100,,,,,,
Turinchallenger,R32,Federico Arnaboldi,Ethan Quinn,29.6000,70.4000,,,3.3800,1.4200,,,,,,
Turinchallenger,R32,Matteo Gigante,Alexander Bublik,31.2000,68.8000,,,3.2100,1.4500,,,,,,
Santoschallenger,QF,Lautaro Midon,Matheus Pucinelli De Almeida,37.8000,62.2000,,,2.6500,1.6100,,,,,,
