TournamentName,TournamentURL,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,Player1_Match_Odds,Player2_Match_Odds,ModelName,ScrapeTimestampUTC
Atpmadrid,https://www.tennisabstract.com/current/2025ATPMadrid.html,R32,Alexander Zverev,Alejandro Davidovich Fokina,100.0,0.0,1.0,,Sackmann,2025-04-28 06:08:02 UTC
Atpmadrid,https://www.tennisabstract.com/current/2025ATPMadrid.html,R32,Francisco Cerundolo,Francisco Comesana,100.0,0.0,1.0,,Sackmann,2025-04-28 06:08:02 UTC
Atpmadrid,https://www.tennisabstract.com/current/2025ATPMadrid.html,R32,Ben Shelton,Jakub Mensik,0.0,100.0,,1.0,Sackmann,2025-04-28 06:08:02 UTC
Atpmadrid,https://www.tennisabstract.com/current/2025ATPMadrid.html,R32,Alexander Bublik,Andrey Rublev,100.0,0.0,1.0,,Sackmann,2025-04-28 06:08:02 UTC
Atpmadrid,https://www.tennisabstract.com/current/2025ATPMadrid.html,R32,Juan Manuel Cerundolo,Brandon Nakashima,0.0,100.0,,1.0,Sackmann,2025-04-28 06:08:02 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,R32,Dusan Lajovic,Ethan Quinn,68.3,31.7,1.46,3.15,Sackmann,2025-04-28 06:08:02 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,R32,Learner Tien,Gastao Elias,68.9,31.1,1.45,3.22,Sackmann,2025-04-28 06:08:02 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,R32,Henrique Rocha,Nicolas Jarry,21.1,78.9,4.74,1.27,Sackmann,2025-04-28 06:08:02 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,R32,Aleksandar Vukic,Nicolas Moreno De Alboran,40.3,59.7,2.48,1.68,Sackmann,2025-04-28 06:08:02 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,R32,Jaime Faria,Qualifier1,89.6,10.4,1.12,9.62,Sackmann,2025-04-28 06:08:02 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,R32,Jesper De Jong,Joao Fonseca,26.9,73.1,3.72,1.37,Sackmann,2025-04-28 06:08:02 UTC
Mauthausenchallenger,https://www.tennisabstract.com/current/2025MauthausenChallenger.html,R32,Raphael Collignon,Alexander Blockx,75.0,25.0,1.33,4.0,Sackmann,2025-04-28 06:08:02 UTC
Mauthausenchallenger,https://www.tennisabstract.com/current/2025MauthausenChallenger.html,R32,Alejandro Moro Canas,Qualifier1,80.2,19.8,1.25,5.05,Sackmann,2025-04-28 06:08:02 UTC
Mauthausenchallenger,https://www.tennisabstract.com/current/2025MauthausenChallenger.html,R32,Nicolai Budkov Kjaer,Lukas Neumayer,37.3,62.7,2.68,1.59,Sackmann,2025-04-28 06:08:02 UTC
Mauthausenchallenger,https://www.tennisabstract.com/current/2025MauthausenChallenger.html,R32,Qualifier2,Jerome Kym,12.5,87.5,8.0,1.14,Sackmann,2025-04-28 06:08:02 UTC
Guangzhouchallenger,https://www.tennisabstract.com/current/2025GuangzhouChallenger.html,R32,Adam Walton,Qualifier1,87.8,12.2,1.14,8.2,Sackmann,2025-04-28 06:08:02 UTC
Guangzhouchallenger,https://www.tennisabstract.com/current/2025GuangzhouChallenger.html,R32,Fajing Sun,Alibek Kachmazov,22.5,77.5,4.44,1.29,Sackmann,2025-04-28 06:08:02 UTC
Guangzhouchallenger,https://www.tennisabstract.com/current/2025GuangzhouChallenger.html,R32,Omar Jasika,Qualifier2,63.9,36.1,1.56,2.77,Sackmann,2025-04-28 06:08:02 UTC
Guangzhouchallenger,https://www.tennisabstract.com/current/2025GuangzhouChallenger.html,R32,Jason Kubler,James Mccabe,70.0,30.0,1.43,3.33,Sackmann,2025-04-28 06:08:02 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,R32,Vit Kopriva,Qualifier1,90.9,9.1,1.1,10.99,Sackmann,2025-04-28 06:08:02 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,R32,Filip Cristian Jianu,Qualifier2,69.9,30.1,1.43,3.32,Sackmann,2025-04-28 06:08:02 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,R32,Jan Jermar,Daniel Evans,16.8,83.2,5.95,1.2,Sackmann,2025-04-28 06:08:02 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,R32,Khumoyun Sultanov,Hady Habib,35.7,64.3,2.8,1.56,Sackmann,2025-04-28 06:08:02 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,R32,Oriol Roca Batalla,August Holmgren,70.6,29.5,1.42,3.39,Sackmann,2025-04-28 06:08:02 UTC
