ResultDate,TournamentKey,Round,WinnerName,LoserName,WinnerNameKey,LoserNameKey,Score,TournamentName
2025-10-14,2025almaty,R32,Corentin Moutet,Bernard Tomic,corentinmoutet,bernardtomic,6-1 7-6(9),Atpalmaty
2025-10-14,2025almaty,R32,Gabriel Diallo,Amir Omarkhanov,gabrieldiallo,amiromarkhanov,6-3 6-1,Atpalmaty
2025-10-14,2025almaty,R32,James Duckworth,Ugo Blanchet,jamesduckworth,ugoblanchet,6-3 6-4,Atpalmaty
2025-10-14,2025almaty,R32,Fabian Marozsan,Luca Nardi,fabianmarozsan,lucanardi,7-6(3) 6-3,Atpalmaty
2025-10-14,2025almaty,Q2,James Duckworth,Mikhail Kukushkin,jamesduckworth,mikhailkukushkin,6-4 4-6 7-5,Atpalmaty
2025-10-14,2025almaty,Q2,Ugo Blanchet,Rinky Hijikata,ugoblanchet,rinkyhijikata,7-5 6-2,Atpalmaty
2025-10-14,2025almaty,Q2,Bernard Tomic,Marc Andrea Huesler,bernardtomic,marcandreahuesler,3-6 7-6(3) 7-6(6),Atpalmaty
2025-10-14,2025almaty,Q2,Marko Topo,Titouan Droguet,markotopo,titouandroguet,6-4 3-6 7-6(5),Atpalmaty
2025-10-14,2025almaty,Q1,James Duckworth,Saba Purtseladze,jamesduckworth,sabapurtseladze,6-3 1-0 RET,Atpalmaty
2025-10-14,2025almaty,Q1,Mikhail Kukushkin,Taro Daniel,mikhailkukushkin,tarodaniel,7-6(3) 6-1,Atpalmaty
2025-10-14,2025almaty,Q1,Rinky Hijikata,Jakub Paul,rinkyhijikata,jakubpaul,7-6(2) 6-3,Atpalmaty
2025-10-14,2025almaty,Q1,Ugo Blanchet,Ilia Simakin,ugoblanchet,iliasimakin,6-3 6-7(8) 7-6(5),Atpalmaty
2025-10-14,2025almaty,Q1,Marc Andrea Huesler,Liam Draxl,marcandreahuesler,liamdraxl,6-4 3-6 6-3,Atpalmaty
2025-10-14,2025almaty,Q1,Bernard Tomic,Denis Yevseyev,bernardtomic,denisyevseyev,4-6 6-1 6-4,Atpalmaty
2025-10-14,2025almaty,Q1,Marko Topo,Billy Harris,markotopo,billyharris,7-6(3) 6-4,Atpalmaty
2025-10-14,2025almaty,Q1,Titouan Droguet,August Holmgren,titouandroguet,augustholmgren,7-6(1) 7-6(1),Atpalmaty
2025-10-14,2025brussels,R32,Benjamin Bonzi,Reilly Opelka,benjaminbonzi,reillyopelka,6-4 6-4,Atpbrussels
2025-10-14,2025brussels,R32,Marcos Giron,Mattia Bellucci,marcosgiron,mattiabellucci,6-3 6-4,Atpbrussels
2025-10-14,2025brussels,Q2,Gilles Arnaud Bailly,Valentin Royer,gillesarnaudbailly,valentinroyer,7-6(3) 7-6(2),Atpbrussels
2025-10-14,2025brussels,Q2,Nikoloz Basilashvili,Pierre Hugues Herbert,nikolozbasilashvili,pierrehuguesherbert,3-6 6-3 7-6(4),Atpbrussels
2025-10-14,2025brussels,Q2,Eliot Spizzirri,Alexander Blockx,eliotspizzirri,alexanderblockx,7-6(4) 6-3,Atpbrussels
2025-10-14,2025brussels,Q2,Yannick Hanfmann,Tibo Colson,yannickhanfmann,tibocolson,6-7(3) 7-5 6-2,Atpbrussels
2025-10-14,2025brussels,Q1,Valentin Royer,Daniel Merida Aguilar,valentinroyer,danielmeridaaguilar,6-3 7-5,Atpbrussels
2025-10-14,2025brussels,Q1,Gilles Arnaud Bailly,Marco Trungelliti,gillesarnaudbailly,marcotrungelliti,6-3 7-6(6),Atpbrussels
2025-10-14,2025brussels,Q1,Nikoloz Basilashvili,Alessio Basile,nikolozbasilashvili,alessiobasile,6-4 6-4,Atpbrussels
2025-10-14,2025brussels,Q1,Pierre Hugues Herbert,Jurij Rodionov,pierrehuguesherbert,jurijrodionov,7-6(5) 6-4,Atpbrussels
2025-10-14,2025brussels,Q1,Eliot Spizzirri,Zsombor Piros,eliotspizzirri,zsomborpiros,5-7 7-6(6) 6-1,Atpbrussels
2025-10-14,2025brussels,Q1,Alexander Blockx,Gauthier Onclin,alexanderblockx,gauthieronclin,6-3 6-4,Atpbrussels
2025-10-14,2025brussels,Q1,Tibo Colson,Jaime Faria,tibocolson,jaimefaria,1-6 6-3 6-4,Atpbrussels
2025-10-14,2025brussels,Q1,Yannick Hanfmann,Calvin Hemery,yannickhanfmann,calvinhemery,6-3 6-4,Atpbrussels
2025-10-14,2025stockholm,R32,Miomir Kecmanovic,Alexandre Muller,miomirkecmanovic,alexandremuller,6-4 6-1,Atpstockholm
2025-10-14,2025stockholm,R32,Jacob Fearnley,Tallon Griekspoor,jacobfearnley,tallongriekspoor,6-3 6-7(6) 7-6(5),Atpstockholm
2025-10-14,2025stockholm,R32,Leo Borg,Sebastian Ofner,leoborg,sebastianofner,6-3 6-4,Atpstockholm
2025-10-14,2025stockholm,R32,Sebastian Korda,Alexei Popyrin,sebastiankorda,alexeipopyrin,6-7(4) 6-1 6-3,Atpstockholm
2025-10-14,2025stockholm,Q2,Mark Lajal,Ethan Quinn,marklajal,ethanquinn,3-6 6-4 6-4,Atpstockholm
2025-10-14,2025stockholm,Q2,Filip Misolic,Viktor Durasovic,filipmisolic,viktordurasovic,6-3 3-6 7-6(4),Atpstockholm
2025-10-14,2025stockholm,Q2,Arthur Fery,Jay Clarke,arthurfery,jayclarke,6-2 4-6 6-3,Atpstockholm
2025-10-14,2025stockholm,Q2,Giulio Zeppieri,Patrick Zahraj,giuliozeppieri,patrickzahraj,6-1 6-4,Atpstockholm
2025-10-14,2025stockholm,Q1,Ethan Quinn,Nikola Slavic,ethanquinn,nikolaslavic,6-3 6-2,Atpstockholm
2025-10-14,2025stockholm,Q1,Mark Lajal,Rei Sakamoto,marklajal,reisakamoto,6-1 6-4,Atpstockholm
2025-10-14,2025stockholm,Q1,Filip Misolic,William Rejchtman Vinciguerra,filipmisolic,williamrejchtmanvinciguerra,6-7(4) 6-4 6-4,Atpstockholm
2025-10-14,2025stockholm,Q1,Viktor Durasovic,Matteo Gigante,viktordurasovic,matteogigante,4-2 RET,Atpstockholm
2025-10-14,2025stockholm,Q1,Arthur Fery,Ignacio Buse,arthurfery,ignaciobuse,6-3 6-1,Atpstockholm
2025-10-14,2025stockholm,Q1,Jay Clarke,Sascha Gueymard Wayenburg,jayclarke,saschagueymardwayenburg,3-6 7-6(4) 6-3,Atpstockholm
2025-10-14,2025stockholm,Q1,Patrick Zahraj,Dino Prizmic,patrickzahraj,dinoprizmic,1-6 3-2 RET,Atpstockholm
2025-10-14,2025stockholm,Q1,Giulio Zeppieri,Vitaliy Sachko,giuliozeppieri,vitaliysachko,6-2 6-4,Atpstockholm
2025-10-14,2025olbia,R32,Luka Pavlovic,Alexis Galarneau,lukapavlovic,alexisgalarneau,7-6(4) 6-3,Olbiachallenger
2025-10-14,2025olbia,R32,Hugo Grenier,Nishesh Basavareddy,hugogrenier,nisheshbasavareddy,3-6 6-4 6-2,Olbiachallenger
2025-10-14,2025olbia,R32,Edas Butvilas,Moez Echargui,edasbutvilas,moezechargui,6-4 6-2,Olbiachallenger
2025-10-14,2025olbia,R32,Luca Van Assche,Stefano Travaglia,lucavanassche,stefanotravaglia,7-5 1-6 6-3,Olbiachallenger
2025-10-14,2025olbia,Q2,Clement Tabur,Maks Kasnikowski,clementtabur,makskasnikowski,6-4 6-2,Olbiachallenger
2025-10-14,2025olbia,Q2,Tom Paris,Matthew William Donald,tomparis,matthewwilliamdonald,6-3 6-4,Olbiachallenger
2025-10-14,2025olbia,Q2,Daniil Glinka,Enrico Dalla Valle,daniilglinka,enricodallavalle,6-4 6-4,Olbiachallenger
2025-10-14,2025olbia,Q2,Michele Ribecai,Christoph Negritu,micheleribecai,christophnegritu,6-3 6-2,Olbiachallenger
2025-10-14,2025olbia,Q2,Norbert Gombos,Arthur Reymond,norbertgombos,arthurreymond,6-4 6-4,Olbiachallenger
2025-10-14,2025olbia,Q2,Lorenzo Carboni,Szymon Kielan,lorenzocarboni,szymonkielan,4-6 6-3 7-6(5),Olbiachallenger
