tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Qualification Open de France,"Wong, Coleman","Tomic, Bernard",1.5,2.48,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Cassone, Murphy","Holmgren, August",2.21,1.62,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Shimizu, Yuta","Coppejans, Kimmer",4.66,1.17,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Moller, Elmer",Bagnis Facundo,1.17,4.66,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Zhukayev, Beibit","Svajda, Zachary",1.54,2.38,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Gigante, Matteo","Kym, Jérôme",1.77,1.98,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Ficovich, Juan Pablo","Tirante, Thiago Agustin",2.51,1.49,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Quinn, Ethan","Lajal, Mark",1.58,2.29,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Boyer, Tristan","Rincon, Daniel",1.65,2.16,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Gaubas, Vilius","Ajdukovic, Duje",1.18,4.5,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,Barrere Gregoire,"Svrcina, Dalibor",2.23,1.61,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Llamas Ruiz, Pablo","Bolt, Alex",1.23,3.9,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Pacheco Mendez, Rodrigo","Guillen Meza, Alvaro",2.78,1.41,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Smith, Colton","Napolitano, Stefano",1.55,2.36,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Jacquet, Kyrian","Daniel, Taro",1.3,3.33,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Sultanov, Khumoyun",Ramos Vinolas Albert,2.9,1.38,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Lestienne, Constant","Burruchaga, Roman Andres",4.5,1.18,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Holt, Brandon","Trotter, James Kent",1.44,2.67,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,"Kubler, Jason","Moro Canas, Alejandro",1.7,2.08,2025-05-19 06:05:57 UTC
ATP Qualification Open de France,Marterer Max,"Butvilas, Edas",2.94,1.37,2025-05-19 06:05:57 UTC
ATP Hambourg,"Collignon, Raphaël","Nakashima, Brand.",2.08,1.7,2025-05-19 06:05:57 UTC
ATP Hambourg,Giron Marcos,"Bautista Agut, Roberto",1.95,1.8,2025-05-19 06:05:57 UTC
ATP Hambourg,Rublev Andrey,"Dzumhur, Damir",1.19,4.36,2025-05-19 06:05:57 UTC
ATP Hambourg,"Gojo, Borna","Lehecka, Jiri",2.6,1.46,2025-05-19 06:05:57 UTC
ATP Hambourg,"Ymer, Elias","Müller, Alexandre",2.94,1.37,2025-05-19 06:05:57 UTC
ATP Hambourg,"Zverev, Alexander","Kovacevic, Aleksandar",1.04,9.26,2025-05-19 06:05:57 UTC
ATP Hambourg,"Struff, Jan-Lennard","Engel, Justin",1.2,4.23,2025-05-19 06:05:57 UTC
ATP Hambourg,"Etcheverry, Tomas Martin","Comesana, Francisco",2.05,1.72,2025-05-19 06:05:57 UTC
ATP Hambourg,Baez Sebastian,"Ugo Carabelli, Camilo",1.52,2.43,2025-05-19 06:05:57 UTC
ATP Hambourg,"Davidovich Fokina, Alejandro","Monfils, Gaël",1.43,2.7,2025-05-19 06:05:57 UTC
ATP Hambourg,"Yunchaokete, Bu","Tiafoe, Francis",2.6,1.46,2025-05-19 06:05:57 UTC
ATP Hambourg,"Altmaier, Daniel","Auger-Aliassime, Félix",2.25,1.6,2025-05-19 06:05:57 UTC
ATP Hambourg,"Mpetshi-Perricard, Giovanni",Bublik Alexander,2.08,1.7,2025-05-19 06:05:57 UTC
ATP Genève,"Lajovic, Dusan","Fearnley, Jacob",1.77,1.94,2025-05-19 06:05:57 UTC
ATP Genève,"Ofner, Sebastian","Gakhov, Ivan",1.18,4.28,2025-05-19 06:05:57 UTC
ATP Genève,"Nishikori, Kei","Tien, Learner",1.67,2.07,2025-05-19 06:05:57 UTC
ATP Genève,"Munar, Jaume","Halys, Quentin",1.41,2.69,2025-05-19 06:05:57 UTC
ATP Genève,"Arnaldi, Matteo","Gaston, Hugo",1.36,2.89,2025-05-19 06:05:57 UTC
ATP Genève,"Norrie, Cameron","Stricker, Dominic",1.33,3.04,2025-05-19 06:05:57 UTC
ATP Genève,"Fucsovics, Marton","Bergs, Zizou",1.66,2.09,2025-05-19 06:05:57 UTC
ATP Genève,"Cazaux, Arthur",Hurkacz Hubert,3.73,1.23,2025-05-19 06:05:57 UTC
ATP Genève,"Rinderknech, Arthur","Kecmanovic, Miomir",2.73,1.4,2025-05-19 06:05:57 UTC
ATP Genève,"Sell, Karue","Marozsan, Fabian",4.73,1.15,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Mikrut, Luka","Brunold, Mika",1.55,2.24,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Schwaerzler, Joel","Bueno, Gonzalo",1.83,1.83,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Durasovic, Viktor","Travaglia, Stefano",3.22,1.28,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Milev, Yanaki","Sharipov, Marat",3.1,1.3,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Negritu, Christoph","Piros, Zsombor",5.02,1.12,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Prizmic, Dino","Houkes, Max",1.34,2.89,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Mrva, Maxim","Geerts, Michaël",2.14,1.6,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Poljicak, Mili","Ivanovski, Kalin",1.5,2.35,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Denolly, Corentin","Budkov Kjaer, Nicolai",3.77,1.21,2025-05-19 06:05:57 UTC
Challenger Skopje Macédoine du Nord,"Clarke, Jay","Sels, Jelle",1.59,2.16,2025-05-19 06:05:57 UTC
Challenger Skopje Qualification,"Michalski, Daniel","Marmousez, Lilian",1.87,1.79,2025-05-19 06:05:57 UTC
Challenger Skopje Qualification,"Dhamne, Manas","Krumich, Martin",2.35,1.5,2025-05-19 06:05:57 UTC
Challenger Skopje Qualification,"Fatic, Nerman","Campana Lee, Gerard",1.33,2.94,2025-05-19 06:05:57 UTC
Challenger Skopje Qualification,"Dodig, Matej",Agamenone Franco,1.76,1.91,2025-05-19 06:05:57 UTC
Challenger Skopje Qualification,"Paulson, Andrew","Oberleitner, Neil",1.67,2.03,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Imamura, Masamic.","Snitari, Ilya",1.8,1.86,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Monday, Johannus","Henning, Philip",1.42,2.58,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Strombachs, Robert","Samrej, Kasidit",1.74,1.93,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Bar Biryukov, Petr","Cina, Federico",2.89,1.34,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Sun, Fajing","Glinka, Daniil",1.56,2.22,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Coulibaly, Eliakim","Robertson, Charlie",1.3,3.1,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Tkemaladze, Zura","Loffhagen, George",6.35,1.07,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Van Wyk, Kris","Simakin, Ilia",4.21,1.17,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Broom, Charles","Berankis, Ricardas",1.83,1.83,2025-05-19 06:05:57 UTC
Challenger Tbilissi,"Bax, Florent","Uchida, Kaichi",1.64,2.07,2025-05-19 06:05:57 UTC
Challenger Tbilissi Qualification,"Jones, Maximus","Andaloro, Fabrizio",1.72,1.96,2025-05-19 06:05:57 UTC
Challenger Tbilissi Qualification,"Pankin, Semen","Fomin, Sergey",1.83,1.83,2025-05-19 06:05:57 UTC
Challenger Tbilissi Qualification,"Damm Jr, Martin","Rai, Ajeet",1.32,2.99,2025-05-19 06:05:57 UTC
