TournamentName,TournamentURL,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,Player1_Match_Odds,Player2_Match_Odds,ModelName,ScrapeTimestampUTC
Birminghamchallenger,https://www.tennisabstract.com/current/2025BirminghamChallenger.html,R16,Martin Landaluce,Lloyd Harris,28.7,71.3,3.48,1.4,Sackmann,2025-06-05 06:17:42 UTC
Birminghamchallenger,https://www.tennisabstract.com/current/2025BirminghamChallenger.html,R16,Colton Smith,Nicolas Moreno De Alboran,63.5,36.5,1.57,2.74,Sackmann,2025-06-05 06:17:42 UTC
Birminghamchallenger,https://www.tennisabstract.com/current/2025BirminghamChallenger.html,R16,Rinky Hijikata,Yosuke Watanuki,100.0,0.0,1.0,,Sackmann,2025-06-05 06:17:42 UTC
Birminghamchallenger,https://www.tennisabstract.com/current/2025BirminghamChallenger.html,R16,Li Tu,Alex Bolt,0.0,100.0,,1.0,Sackmann,2025-06-05 06:17:42 UTC
Heilbronnchallenger,https://www.tennisabstract.com/current/2025HeilbronnChallenger.html,R16,Daniel Rincon,Facundo Mena,63.2,36.8,1.58,2.72,Sackmann,2025-06-05 06:17:42 UTC
Heilbronnchallenger,https://www.tennisabstract.com/current/2025HeilbronnChallenger.html,R16,Dominic Stricker,Marko Topo,66.9,33.1,1.49,3.02,Sackmann,2025-06-05 06:17:42 UTC
Heilbronnchallenger,https://www.tennisabstract.com/current/2025HeilbronnChallenger.html,R16,Guy Den Ouden,Gauthier Onclin,67.5,32.5,1.48,3.08,Sackmann,2025-06-05 06:17:42 UTC
Heilbronnchallenger,https://www.tennisabstract.com/current/2025HeilbronnChallenger.html,R16,Diego Dedura Palomero,Emilio Nava,13.8,86.2,7.25,1.16,Sackmann,2025-06-05 06:17:42 UTC
Heilbronnchallenger,https://www.tennisabstract.com/current/2025HeilbronnChallenger.html,R16,Viktor Durasovic,Ignacio Buse,0.0,100.0,,1.0,Sackmann,2025-06-05 06:17:42 UTC
Prostejovchallenger,https://www.tennisabstract.com/current/2025ProstejovChallenger.html,QF,Vitaliy Sachko,Alexander Shevchenko,35.7,64.3,2.8,1.56,Sackmann,2025-06-05 06:17:42 UTC
Prostejovchallenger,https://www.tennisabstract.com/current/2025ProstejovChallenger.html,QF,Hugo Dellien,Dimitar Kuzmanov,71.1,28.9,1.41,3.46,Sackmann,2025-06-05 06:17:42 UTC
Prostejovchallenger,https://www.tennisabstract.com/current/2025ProstejovChallenger.html,QF,Chun Hsin Tseng,Jurij Rodionov,66.8,33.2,1.5,3.01,Sackmann,2025-06-05 06:17:42 UTC
Prostejovchallenger,https://www.tennisabstract.com/current/2025ProstejovChallenger.html,QF,Zsombor Piros,Alejandro Tabilo,42.9,57.1,2.33,1.75,Sackmann,2025-06-05 06:17:42 UTC
Tylerchallenger,https://www.tennisabstract.com/current/2025TylerChallenger.html,R16,Mitchell Krueger,Karue Sell,0.0,100.0,,1.0,Sackmann,2025-06-05 06:17:42 UTC
Tylerchallenger,https://www.tennisabstract.com/current/2025TylerChallenger.html,R16,Rafael Jodar,Andres Martin,0.0,100.0,,1.0,Sackmann,2025-06-05 06:17:42 UTC
Tylerchallenger,https://www.tennisabstract.com/current/2025TylerChallenger.html,R16,Antoine Escoffier,Yibing Wu,17.7,82.3,5.65,1.22,Sackmann,2025-06-05 06:17:42 UTC
Tylerchallenger,https://www.tennisabstract.com/current/2025TylerChallenger.html,R16,Alex Rybakov,Nicolas Mejia,46.6,53.4,2.15,1.87,Sackmann,2025-06-05 06:17:42 UTC
Tylerchallenger,https://www.tennisabstract.com/current/2025TylerChallenger.html,R16,Stefan Dostanic,Yi Zhou,0.0,100.0,,1.0,Sackmann,2025-06-05 06:17:42 UTC
