TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atprome,R64,Jannik Sinner,Mariano Navone,78.6000,21.4000,,,1.2700,4.6700,,,,,,
Atprome,R64,Jesper De Jong,Alejandro Davidovich Fokina,24.0000,76.0000,,,4.1700,1.3200,,,,,,
Atprome,R64,Francisco Cerundolo,Nicolas Jarry,76.8000,23.2000,,,1.3000,4.3100,,,,,,
Atprome,R64,Sebastian Ofner,Frances Tiafoe,31.1000,68.9000,,,3.2200,1.4500,,,,,,
Wuxichallenger,QF,Yusuke Takahashi,Ilia Simakin,17.5000,82.5000,,,5.7100,1.2100,,,,,,
Wuxichallenger,QF,Fajing Sun,Ryan Peniston,31.7000,68.3000,,,3.1500,1.4600,,,,,,
Wuxichallenger,QF,Rio Noguchi,Terence Atmane,22.1000,77.9000,33.1719,66.8281,4.5200,1.2800,2.7600,1.3700,-1.7600,0.0900,-0.3894,0.0703
Wuxichallenger,QF,Alex Bolt,Jie Cui,62.5000,37.5000,,,1.6000,2.6700,,,,,,
Francavillaalmarechallenger,QF,Dominic Stricker,Kimmer Coppejans,49.8000,50.2000,,,2.0100,1.9900,,,,,,
Francavillaalmarechallenger,QF,Benoit Paire,Francesco Maestrelli,55.1000,44.9000,,,1.8100,2.2300,,,,,,
Francavillaalmarechallenger,QF,Valentin Vacherot,Elias Ymer,69.3000,30.7000,,,1.4400,3.2600,,,,,,
Francavillaalmarechallenger,QF,Mark Lajal,Carlos Sanchez Jover,64.3000,35.7000,,,1.5600,2.8000,,,,,,
Praguechallenger,QF,Maxime Chazal,Lukas Klein,12.0000,88.0000,28.4444,71.5556,8.3300,1.1400,3.2200,1.2800,-5.1100,0.1400,-0.6134,0.1228
Praguechallenger,QF,Mees Rottgering,Filip Misolic,22.3000,77.7000,28.4444,71.5556,4.4800,1.2900,3.2200,1.2800,-1.2600,-0.0100,-0.2812,-0.0078
Praguechallenger,QF,Guy Den Ouden,Alexander Blockx,39.6000,60.4000,57.2193,42.7807,2.5300,1.6600,1.6000,2.1400,-0.9300,0.4800,-0.3676,0.2892
Praguechallenger,QF,Nicolai Budkov Kjaer,Martin Landaluce,40.8000,59.2000,49.4536,50.5464,2.4500,1.6900,1.8500,1.8100,-0.6000,0.1200,-0.2449,0.0710
Santoschallenger,QF,Alvaro Guillen Meza,Renzo Olivo,61.0000,39.0000,64.5000,35.5000,1.6400,2.5600,1.4200,2.5800,-0.2200,0.0200,-0.1341,0.0078
Santoschallenger,QF,Franco Roncadelli,Gonzalo Villanueva,46.0000,54.0000,,,2.1700,1.8500,,,,,,
Santoschallenger,QF,Lautaro Midon,Matheus Pucinelli De Almeida,37.8000,62.2000,,,2.6500,1.6100,,,,,,
Santoschallenger,QF,Nicolas Kicker,Gianluca Mager,48.5000,51.5000,,,2.0600,1.9400,,,,,,
