TournamentName,TournamentURL,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,Player1_Match_Odds,Player2_Match_Odds,ModelName,ScrapeTimestampUTC
Atprome,https://www.tennisabstract.com/current/2025ATPRome.html,QF,Jannik Sinner,Casper Ruud,48.8,51.2,2.05,1.95,Sackmann,2025-05-15 06:04:22 UTC
Atprome,https://www.tennisabstract.com/current/2025ATPRome.html,QF,Hubert Hurkacz,Tommy Paul,46.7,53.3,2.14,1.88,Sackmann,2025-05-15 06:04:22 UTC
Atprome,https://www.tennisabstract.com/current/2025ATPRome.html,QF,Jack Draper,Carlos Alcaraz,0.0,100.0,,1.0,Sackmann,2025-05-15 06:04:22 UTC
Atprome,https://www.tennisabstract.com/current/2025ATPRome.html,QF,Lorenzo Musetti,Alexander Zverev,100.0,0.0,1.0,,Sackmann,2025-05-15 06:04:22 UTC
Oeiras5Challenger,https://www.tennisabstract.com/current/2025Oeiras5Challenger.html,QF,Mitchell Krueger,Yibing Wu,33.1,66.9,3.02,1.49,Sackmann,2025-05-15 06:04:22 UTC
Oeiras5Challenger,https://www.tennisabstract.com/current/2025Oeiras5Challenger.html,QF,Hady Habib,Thiago Agustin Tirante,46.4,53.6,2.16,1.87,Sackmann,2025-05-15 06:04:22 UTC
Oeiras5Challenger,https://www.tennisabstract.com/current/2025Oeiras5Challenger.html,QF,Roman Andres Burruchaga,Giulio Zeppieri,53.9,46.1,1.86,2.17,Sackmann,2025-05-15 06:04:22 UTC
Oeiras5Challenger,https://www.tennisabstract.com/current/2025Oeiras5Challenger.html,QF,Cristian Garin,Gastao Elias,81.0,19.0,1.23,5.26,Sackmann,2025-05-15 06:04:22 UTC
Tunischallenger,https://www.tennisabstract.com/current/2025TunisChallenger.html,QF,Valentin Royer,Chris Rodesch,70.4,29.6,1.42,3.38,Sackmann,2025-05-15 06:04:22 UTC
Tunischallenger,https://www.tennisabstract.com/current/2025TunisChallenger.html,QF,Federico Coria,Titouan Droguet,57.5,42.5,1.74,2.35,Sackmann,2025-05-15 06:04:22 UTC
Tunischallenger,https://www.tennisabstract.com/current/2025TunisChallenger.html,QF,Ivan Gakhov,Coleman Wong,55.6,44.4,1.8,2.25,Sackmann,2025-05-15 06:04:22 UTC
