tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Qualification Open de France,"Bertrand, Robin","Rocha, Henrique",3.47,1.28,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Coric, Borna","Droguet, Titouan",1.2,4.23,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Gea, Arthur","Blockx, Alexander",2.54,1.48,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Misolic, Filip","Draxl, Liam",1.27,3.54,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Trungelliti, Marco","Neumayer, Lukas",1.89,1.85,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Barrios Vera, Marcelo Tomas","Pavlovic, Luka",1.35,3.04,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Spizzirri, Eliot",Grenier Hugo,1.78,1.97,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Zeppieri, Giulio","Choinski, Jan",1.41,2.78,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Kachmazov, Alibek","Skatov, Timofey",3.04,1.35,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Krueger, Mitchell",Nagal Sumit,1.75,2.01,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,Garin Christian,"Mayot, Harold",1.37,2.94,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Eubanks, Christopher","Rodionov, Jurij",2.54,1.48,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Rodesch, Chris","Blanchet, Ugo",1.5,2.48,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Squire, Henri","Alves, Felipe",2.82,1.4,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Tseng, Chun Hsin","Arnaboldi, Feder.",1.35,3.04,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Jianu, Filip Cri.","Kovalik, Jozef",2.36,1.55,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Harris, Billy","Evans, Daniel",1.7,2.08,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Tabur, Clément","Tu, Li",1.28,3.47,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Mmoh, Michael","Hemery, Calvin",2.82,1.4,2025-05-20 06:05:25 UTC
ATP Qualification Open de France,"Basilashvili, Nikoloz","Brouwer, Gijs",1.15,5.0,2025-05-20 06:05:25 UTC
ATP Hambourg,Sachko Vitaliy,"Cobolli, Flavio",3.54,1.27,2025-05-20 06:05:25 UTC
ATP Hambourg,"Etcheverry, Tomas Martin","Comesana, Francisco",2.09,1.69,2025-05-20 06:05:25 UTC
ATP Hambourg,"Yunchaokete, Bu","Tiafoe, Francis",2.46,1.51,2025-05-20 06:05:25 UTC
ATP Hambourg,Baez Sebastian,"Ugo Carabelli, Camilo",1.64,2.18,2025-05-20 06:05:25 UTC
ATP Hambourg,"Davidovich Fokina, Alejandro","Monfils, Gaël",1.43,2.7,2025-05-20 06:05:25 UTC
ATP Hambourg,"Mpetshi-Perricard, Giovanni",Bublik Alexander,2.16,1.65,2025-05-20 06:05:25 UTC
ATP Hambourg,"Altmaier, Daniel","Auger-Aliassime, Félix",2.16,1.65,2025-05-20 06:05:25 UTC
ATP Hambourg,"Darderi, Luciano","Nakashima, Brand.",1.61,2.23,2025-05-20 06:05:25 UTC
ATP Hambourg,"Lehecka, Jiri","Cerundolo, Francisco",3.04,1.35,2025-05-20 06:05:25 UTC
ATP Hambourg,"Zverev, Alexander","Müller, Alexandre",1.1,6.23,2025-05-20 06:05:25 UTC
ATP Hambourg,Rublev Andrey,"Engel, Justin",1.07,7.41,2025-05-20 06:05:25 UTC
ATP Genève,"Sell, Karue","Marozsan, Fabian",4.91,1.14,2025-05-20 06:05:25 UTC
ATP Genève,"Rinderknech, Arthur","Kecmanovic, Miomir",2.73,1.4,2025-05-20 06:05:25 UTC
ATP Genève,"Cazaux, Arthur",Hurkacz Hubert,3.73,1.23,2025-05-20 06:05:25 UTC
ATP Genève,"Khachanov, Karen","Nishikori, Kei",1.36,2.89,2025-05-20 06:05:25 UTC
ATP Genève,"Ofner, Sebastian","Borges, Nuno",1.8,1.9,2025-05-20 06:05:25 UTC
ATP Genève,"Popyrin, Alexei","Fearnley, Jacob",1.78,1.93,2025-05-20 06:05:25 UTC
ATP Genève,"Fritz, Taylor","Halys, Quentin",1.13,5.1,2025-05-20 06:05:25 UTC
ATP Genève,"Norrie, Cameron","Machac, Tomas",2.81,1.38,2025-05-20 06:05:25 UTC
ATP Genève,"Fucsovics, Marton","Djokovic, Novak",3.34,1.28,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Prizmic, Dino","Houkes, Max",1.28,3.22,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Denolly, Corentin","Budkov Kjaer, Nicolai",4.21,1.17,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Clarke, Jay","Sels, Jelle",1.48,2.4,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Cachin, Pedro","Dhamne, Manas",1.35,2.85,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Marmousez, Lilian","Olivieri, Genaro Alberto",1.73,1.95,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Fatic, Nerman","Alvarez Varona, Nicolas",1.47,2.43,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Oberleitner, Neil","Roca Batalla, Oriol",2.52,1.44,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Poljicak, Mili","Ivanovski, Kalin",1.5,2.35,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Negritu, Christoph","Piros, Zsombor",5.02,1.12,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,"Mrva, Maxim","Geerts, Michaël",1.99,1.7,2025-05-20 06:05:25 UTC
Challenger Skopje Macédoine du Nord,Agamenone Franco,"Shelbayh, Abdullah",1.62,2.11,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Hussey, Giles","Purtseladze, Saba",1.86,1.8,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Gray, Alastair","Pokorny, Lukas",1.83,1.83,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Chidekh, Clement","Karlovskiy, Evgeny",1.42,2.58,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Van Wyk, Kris","Simakin, Ilia",4.66,1.14,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Bax, Florent","Uchida, Kaichi",1.64,2.07,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Broom, Charles","Berankis, Ricardas",1.83,1.83,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Coulibaly, Eliakim","Robertson, Charlie",1.27,3.28,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Tkemaladze, Zura","Loffhagen, George",6.35,1.07,2025-05-20 06:05:25 UTC
Challenger Tbilissi,"Snitari, Ilya","Cina, Federico",2.85,1.35,2025-05-20 06:05:25 UTC
