tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Wimbledon Qualification,"Mccabe, James","Burruchaga, Roman Andres",1.57,2.25,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Riedi, Leandro","Gomez, Federico Agustin",1.17,4.42,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Skatov, Timofey","Blockx, Alexander",3.41,1.27,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Zeppieri, Giulio","Jubb, Paul",2.5,1.47,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Pavlovic, Luka","Trotter, James Kent",2.77,1.39,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Van Assche, Luca","Stewart, Hamish",1.29,3.27,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,Kukushkin Mikhail,"Holmgren, August",1.42,2.65,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Tarvet, Oliver","Galarneau, Alexis",1.85,1.85,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Fucsovics, Marton","Svajda, Zachary",1.39,2.77,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Basilashvili, Nikoloz","Wong, Coleman",1.72,2.0,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,Garin Christian,Habib Hady,1.24,3.64,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Barrios Vera, Marcelo Tomas","Rocha, Henrique",1.35,2.94,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Smith, Colton","Watanuki, Yosuke",1.5,2.41,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Zhukayev, Beibit","Hanfmann, Yannick",2.81,1.38,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Peniston, Ryan","Landaluce, Martin",2.73,1.4,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Budkov Kjaer, Nicolai","Mannarino, Adrian",3.64,1.24,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Faria, Jaime","Trungelliti, Marco",1.36,2.89,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Daniel, Taro","Droguet, Titouan",3.64,1.24,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Schoolkate, Tristan","Hassan, Benjamin",1.16,4.57,2025-06-24 06:20:02 UTC
ATP Wimbledon Qualification,"Royer, Valentin","Uchiyama, Yasutaka",2.09,1.66,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Mpetshi-Perricard, Giovanni","Norrie, Cameron",2.19,1.6,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Loffhagen, George","Opelka, Reilly",2.32,1.54,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Vukic, Aleksandar","Duckworth, James",1.44,2.59,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Borges, Nuno","Pinnington Jones, Jack",1.55,2.29,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Darderi, Luciano",Giron Marcos,2.5,1.47,2025-06-24 06:20:02 UTC
ATP Eastbourne,Bublik Alexander,"Comesana, Francisco",1.33,3.04,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Fearnley, Jacob","Cobolli, Flavio",1.77,1.94,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Fritz, Taylor","Fonseca, Joao",1.39,2.77,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Evans, Daniel","Paul, Tommy",3.04,1.33,2025-06-24 06:20:02 UTC
ATP Eastbourne,"Sonego, Lorenzo","Humbert, Ugo",2.27,1.56,2025-06-24 06:20:02 UTC
ATP Majorque,"Bonzi, Benjamin","Holt, Brandon",1.63,2.14,2025-06-24 06:20:02 UTC
ATP Majorque,"Tomic, Bernard","Hijikata, Rinky",2.56,1.45,2025-06-24 06:20:02 UTC
ATP Majorque,"Etcheverry, Tomas Martin","Bautista Agut, Roberto",2.36,1.52,2025-06-24 06:20:02 UTC
ATP Majorque,Safiullin Roman,"Medjedovic, Hamad",2.09,1.66,2025-06-24 06:20:02 UTC
ATP Majorque,"Diallo, Gabriel","Djere, Laslo",1.43,2.62,2025-06-24 06:20:02 UTC
ATP Majorque,"Quinn, Ethan","Griekspoor, Tallon",2.56,1.45,2025-06-24 06:20:02 UTC
ATP Majorque,"Rinderknech, Arthur","Auger-Aliassime, Félix",3.09,1.32,2025-06-24 06:20:02 UTC
ATP Majorque,Moutet Corentin,"Altmaier, Daniel",1.58,2.23,2025-06-24 06:20:02 UTC
ATP Majorque,"Shelton, Ben","Tien, Learner",1.3,3.21,2025-06-24 06:20:02 UTC
Challenger Lima,"Roncadelli, Fran.","Boscardin Dias, Pedro",2.07,1.64,2025-06-24 06:20:02 UTC
Challenger Lima,"Villanueva, Gonzalo","Hernandez, Alex",1.3,3.1,2025-06-24 06:20:02 UTC
Challenger Lima,Casanova Hernan,"Kestelboim, Mariano",1.47,2.43,2025-06-24 06:20:02 UTC
