TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atpparis,R16,Cameron Norrie,Valentin Vacherot,43.9000,56.1000,,,2.2800,1.7800,,,,,,
Atpparis,R16,Felix Auger Aliassime,Daniel Altmaier,82.3000,17.7000,,,1.2200,5.6500,,,,,,
Atpparis,R16,Taylor Fritz,Alexander Bublik,71.1000,28.9000,,,1.4100,3.4600,,,,,,
Atpparis,R16,Karen Khachanov,Alex De Minaur,30.5000,69.5000,,,3.2800,1.4400,,,,,,
Bratislava2Challenger,R16,Raphael Collignon,Stan Wawrinka,59.2000,40.8000,,,1.6900,2.4500,,,,,,
Bratislava2Challenger,R16,Mark Lajal,Thiago Agustin Tirante,50.6000,49.4000,,,1.9800,2.0200,,,,,,
Seoulchallenger,R16,Jurij Rodionov,Yuta Shimizu,68.0000,32.0000,,,1.4700,3.1200,,,,,,
Charlottesvillechallenger,R16,Rinky Hijikata,Mats Rosenkranz,76.3000,23.7000,,,1.3100,4.2200,,,,,,
Lima Losinkaschallenger,R16,Ignacio Buse,Juan Bautista Torres,88.8000,11.2000,,,1.1300,8.9300,,,,,,
Lima Losinkaschallenger,R16,Alvaro Guillen Meza,Andres Andrade,65.4000,34.6000,,,1.5300,2.8900,,,,,,
Monastirchallenger,R16,Lorenzo Giustino,Ioannis Xilas,33.6000,66.4000,,,2.9800,1.5100,,,,,,
Monastirchallenger,R16,Pedro Vives Marcos,Dan Added,28.9000,71.1000,,,3.4600,1.4100,,,,,,
