tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Londres,"Bautista Agut, Roberto","Borges, Nuno",1.72,2.05,2025-06-16 06:21:53 UTC
ATP Londres,"Tiafoe, Francis","Evans, Daniel",1.25,3.71,2025-06-16 06:21:53 UTC
ATP Londres,"Rune, Holger","Arnaldi, Matteo",1.24,3.8,2025-06-16 06:21:53 UTC
ATP Londres,"Norrie, Cameron","Mensik, Jakub",2.19,1.63,2025-06-16 06:21:53 UTC
ATP Londres,"Fearnley, Jacob","Bolt, Alex",1.4,2.82,2025-06-16 06:21:53 UTC
ATP Londres,"Mcdonald, Mackenzie","Monfils, Gaël",1.91,1.83,2025-06-16 06:21:53 UTC
ATP Londres,"Diallo, Gabriel","Harris, Billy",1.36,2.99,2025-06-16 06:21:53 UTC
ATP Londres,"Nakashima, Brand.","Mpetshi-Perricard, Giovanni",1.7,2.08,2025-06-16 06:21:53 UTC
ATP Londres,"Opelka, Reilly","Ugo Carabelli, Camilo",1.14,5.2,2025-06-16 06:21:53 UTC
ATP Londres,"Thompson, Jordan","Munar, Jaume",1.35,3.04,2025-06-16 06:21:53 UTC
ATP Londres,"De Minaur, Alex","Lehecka, Jiri",1.46,2.6,2025-06-16 06:21:53 UTC
ATP Londres,"Alcaraz Garfia, Carlos","Davidovich Fokina, Alejandro",1.06,7.93,2025-06-16 06:21:53 UTC
ATP Londres,"Brooksby, Jenson","Draper, Jack",6.97,1.08,2025-06-16 06:21:53 UTC
ATP Londres,"Rinderknech, Arthur","Shelton, Ben",3.4,1.29,2025-06-16 06:21:53 UTC
ATP Londres,Moutet Corentin,"Fritz, Taylor",5.2,1.14,2025-06-16 06:21:53 UTC
ATP Londres,"Popyrin, Alexei","Vukic, Aleksandar",1.4,2.82,2025-06-16 06:21:53 UTC
ATP Halle,"Marozsan, Fabian","Kecmanovic, Miomir",2.01,1.75,2025-06-16 06:21:53 UTC
ATP Halle,"Altmaier, Daniel","Medvedev, Daniil",4.82,1.16,2025-06-16 06:21:53 UTC
ATP Halle,"Müller, Alexandre",Bublik Alexander,3.15,1.33,2025-06-16 06:21:53 UTC
ATP Halle,Tsitsipas Stefano,"Darderi, Luciano",1.24,3.8,2025-06-16 06:21:53 UTC
ATP Halle,"Halys, Quentin","Bonzi, Benjamin",1.66,2.14,2025-06-16 06:21:53 UTC
ATP Halle,"Bergs, Zizou","Khachanov, Karen",2.67,1.44,2025-06-16 06:21:53 UTC
ATP Halle,"Humbert, Ugo","Shapovalov, Denis",1.62,2.21,2025-06-16 06:21:53 UTC
ATP Halle,Giron Marcos,"Zverev, Alexander",5.66,1.12,2025-06-16 06:21:53 UTC
ATP Halle,"Sonego, Lorenzo","Struff, Jan-Lennard",2.01,1.75,2025-06-16 06:21:53 UTC
ATP Halle,"Fonseca, Joao","Cobolli, Flavio",1.53,2.4,2025-06-16 06:21:53 UTC
ATP Halle,"Cerundolo, Francisco","Michelsen, Alex",2.01,1.75,2025-06-16 06:21:53 UTC
ATP Halle,"Martinez Portero, Pedro","Etcheverry, Tomas Martin",2.82,1.4,2025-06-16 06:21:53 UTC
ATP Halle,Hurkacz Hubert,"Machac, Tomas",1.45,2.63,2025-06-16 06:21:53 UTC
ATP Halle,"Auger-Aliassime, Félix","Djere, Laslo",1.32,3.21,2025-06-16 06:21:53 UTC
ATP Halle,"Sinner, Jannik","Hanfmann, Yannick",1.02,11.22,2025-06-16 06:21:53 UTC
ATP Halle,Rublev Andrey,"Ofner, Sebastian",1.37,2.94,2025-06-16 06:21:53 UTC
