tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
Challenger Newport,"Krueger, Mitchell","Ghibaudo, Antoine",1.36,2.89,2025-07-11 06:19:14 UTC
Challenger Newport,"Holt, Brandon","Svajda, Zachary",1.94,1.77,2025-07-11 06:19:14 UTC
Challenger Newport,"Zink, Tyler","Mannarino, Adrian",6.45,1.08,2025-07-11 06:19:14 UTC
Challenger Newport,"Eubanks, Christopher","Tomic, Bernard",1.73,1.99,2025-07-11 06:19:14 UTC
Challenger Newport,"Weightman, Oscar","Watanuki, Yosuke",8.37,1.04,2025-07-11 06:19:14 UTC
ATP Wimbledon,"Fritz, Taylor","Alcaraz Garfia, Carlos",4.5,1.18,2025-07-11 06:19:14 UTC
ATP Wimbledon,"Sinner, Jannik","Djokovic, Novak",1.44,2.67,2025-07-11 06:19:14 UTC
Challenger Winnipeg,"Noguchi, Rio","Draxl, Liam",3.21,1.3,2025-07-11 06:19:14 UTC
Challenger Winnipeg,"Andrade, Andres","Zhou, Yi",1.72,2.0,2025-07-11 06:19:14 UTC
Challenger Winnipeg,"Shimabukuro, Sho","Hsu, Yu Hsiou",1.57,2.25,2025-07-11 06:19:14 UTC
Challenger Braunschweig,"Cerundolo, Juan Manuel","Molcan, Alex",1.5,2.41,2025-07-11 06:19:14 UTC
Challenger Braunschweig,"Misolic, Filip","Navone, Mariano",2.17,1.61,2025-07-11 06:19:14 UTC
Challenger Iași,"Dellien, Murkel","Ajdukovic, Duje",1.98,1.74,2025-07-11 06:19:14 UTC
Challenger Iași,"Droguet, Titouan","Reis Da Silva, Joao Lucas",1.34,2.99,2025-07-11 06:19:14 UTC
Challenger Iași,"Wawrinka, Stan","Albot, Radu",1.31,3.15,2025-07-11 06:19:14 UTC
Challenger Iași,"Maestrelli, Francesco","Moller, Elmer",2.73,1.4,2025-07-11 06:19:14 UTC
Challenger Nottingham,"Edmund, Kyle","Zahraj, Patrick",1.71,2.02,2025-07-11 06:19:14 UTC
Challenger Nottingham,"Pinnington Jones, Jack","Winter, Edward",1.26,3.48,2025-07-11 06:19:14 UTC
Challenger Nottingham,"Peniston, Ryan","Stewart, Hamish",1.41,2.69,2025-07-11 06:19:14 UTC
Challenger Nottingham,"Gray, Alastair","Maxted, Lui",1.5,2.41,2025-07-11 06:19:14 UTC
Challenger Trieste,Nagal Sumit,"Mrva, Maxim",1.63,2.14,2025-07-11 06:19:14 UTC
Challenger Trieste,"Dodig, Matej","Neumayer, Lukas",2.44,1.49,2025-07-11 06:19:14 UTC
Challenger Trieste,"Diaz Acosta, Facundo","Travaglia, Stefano",1.35,2.94,2025-07-11 06:19:14 UTC
Challenger Trieste,"Tirante, Thiago Agustin","Rodriguez Taverna, Santiago",1.27,3.41,2025-07-11 06:19:14 UTC
