TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atpmadrid,R32,Alexander Zverev,Alejandro Davidovich Fokina,72.9000,27.1000,,,1.3700,3.6900,,,,,,
Atpmadrid,R32,Francisco Cerundolo,Francisco Comesana,79.7000,20.3000,,,1.2500,4.9300,,,,,,
Atpmadrid,R32,Ben Shelton,Jakub Mensik,57.6000,42.4000,,,1.7400,2.3600,,,,,,
Atpmadrid,R32,Alexander Bublik,Andrey Rublev,23.4000,76.6000,,,4.2700,1.3100,,,,,,
Abidjan2Challenger,SF,Aziz Dougaz,Michael Geerts,54.6000,45.4000,,,1.8300,2.2000,,,,,,
Mauthausenchallenger,R32,Raphael Collignon,Alexander Blockx,75.0000,25.0000,,,1.3300,4.0000,,,,,,
Mauthausenchallenger,R32,Nicolai Budkov Kjaer,Lukas Neumayer,37.3000,62.7000,,,2.6800,1.5900,,,,,,
Guangzhouchallenger,R32,Fajing Sun,Alibek Kachmazov,22.5000,77.5000,,,4.4400,1.2900,,,,,,
Guangzhouchallenger,R32,Jason Kubler,James Mccabe,70.0000,30.0000,,,1.4300,3.3300,,,,,,
Ostravachallenger,R32,Jan Jermar,Daniel Evans,16.8000,83.2000,,,5.9500,1.2000,,,,,,
Ostravachallenger,R32,Khumoyun Sultanov,Hady Habib,35.7000,64.3000,,,2.8000,1.5600,,,,,,
Ostravachallenger,R32,Oriol Roca Batalla,August Holmgren,70.6000,29.5000,,,1.4200,3.3900,,,,,,
Portoalegrechallenger,R32,Alvaro Guillen Meza,Matheus Pucinelli De Almeida,52.1000,47.9000,,,1.9200,2.0900,,,,,,
Portoalegrechallenger,R32,Mateus Alves,Lautaro Midon,47.7000,52.3000,,,2.1000,1.9100,,,,,,
