ResultDate,TournamentKey,Round,WinnerName,LoserName,WinnerNameKey,LoserNameKey,Score,TournamentName
2025-10-19,2025almaty,SF,Corentin Moutet,Alex Michelsen,corentinmoutet,alexmichelsen,7-5 6-4,Atpalmaty
2025-10-19,2025almaty,SF,Daniil Medvedev,James Duckworth,daniilmedvedev,jamesduckworth,6-7(8) 6-3 6-2,Atpalmaty
2025-10-19,2025almaty,QF,Corentin Moutet,Jan Lennard Struff,corentinmoutet,janlennardstruff,6-4 7-5,Atpalmaty
2025-10-19,2025almaty,QF,Alex Michelsen,Shintaro Mochizuki,alexmichelsen,shintaromochizuki,6-3 3-6 6-2,Atpalmaty
2025-10-19,2025almaty,QF,James Duckworth,Flavio Cobolli,jamesduckworth,flaviocobolli,6-3 6-2,Atpalmaty
2025-10-19,2025almaty,QF,Daniil Medvedev,Fabian Marozsan,daniilmedvedev,fabianmarozsan,7-5 6-2,Atpalmaty
2025-10-19,2025almaty,R16,Jan Lennard Struff,Karen Khachanov,janlennardstruff,karenkhachanov,4-6 7-6(5) 6-3,Atpalmaty
2025-10-19,2025almaty,R16,Corentin Moutet,Alexander Shevchenko,corentinmoutet,alexandershevchenko,7-5 6-3,Atpalmaty
2025-10-19,2025almaty,R16,Shintaro Mochizuki,Luciano Darderi,shintaromochizuki,lucianodarderi,6-3 6-3,Atpalmaty
2025-10-19,2025almaty,R16,Alex Michelsen,Aleksandar Vukic,alexmichelsen,aleksandarvukic,6-3 6-2,Atpalmaty
2025-10-19,2025almaty,R16,James Duckworth,Gabriel Diallo,jamesduckworth,gabrieldiallo,7-6(3) 6-7(3) 6-4,Atpalmaty
2025-10-19,2025almaty,R16,Flavio Cobolli,Rinky Hijikata,flaviocobolli,rinkyhijikata,6-4 7-5,Atpalmaty
2025-10-19,2025almaty,R16,Fabian Marozsan,Brandon Nakashima,fabianmarozsan,brandonnakashima,7-6(5) 6-1,Atpalmaty
2025-10-19,2025almaty,R16,Daniil Medvedev,Adam Walton,daniilmedvedev,adamwalton,7-5 7-6(0),Atpalmaty
2025-10-19,2025almaty,R32,Jan Lennard Struff,Mackenzie Mcdonald,janlennardstruff,mackenziemcdonald,2-6 6-3 6-4,Atpalmaty
2025-10-19,2025almaty,R32,Alexander Shevchenko,Laslo Djere,alexandershevchenko,laslodjere,7-6(1) 7-6(12),Atpalmaty
2025-10-19,2025almaty,R32,Corentin Moutet,Bernard Tomic,corentinmoutet,bernardtomic,6-1 7-6(9),Atpalmaty
2025-10-19,2025almaty,R32,Shintaro Mochizuki,Arthur Cazaux,shintaromochizuki,arthurcazaux,6-4 6-4,Atpalmaty
2025-10-19,2025almaty,R32,Aleksandar Vukic,Marko Topo,aleksandarvukic,markotopo,6-4 3-6 6-1,Atpalmaty
2025-10-19,2025almaty,R32,Alex Michelsen,Beibit Zhukayev,alexmichelsen,beibitzhukayev,6-2 6-3,Atpalmaty
2025-10-19,2025almaty,R32,Gabriel Diallo,Amir Omarkhanov,gabrieldiallo,amiromarkhanov,6-3 6-1,Atpalmaty
2025-10-19,2025almaty,R32,James Duckworth,Ugo Blanchet,jamesduckworth,ugoblanchet,6-3 6-4,Atpalmaty
2025-10-19,2025almaty,R32,Rinky Hijikata,Timofey Skatov,rinkyhijikata,timofeyskatov,7-6(3) 2-6 6-3,Atpalmaty
2025-10-19,2025almaty,R32,Brandon Nakashima,Hamad Medjedovic,brandonnakashima,hamadmedjedovic,7-6(5) 6-2,Atpalmaty
2025-10-19,2025almaty,R32,Fabian Marozsan,Luca Nardi,fabianmarozsan,lucanardi,7-6(3) 6-3,Atpalmaty
2025-10-19,2025almaty,R32,Adam Walton,Tristan Schoolkate,adamwalton,tristanschoolkate,7-6(4) 6-7(3) 6-2,Atpalmaty
2025-10-19,2025almaty,Q2,James Duckworth,Mikhail Kukushkin,jamesduckworth,mikhailkukushkin,6-4 4-6 7-5,Atpalmaty
2025-10-19,2025almaty,Q2,Ugo Blanchet,Rinky Hijikata,ugoblanchet,rinkyhijikata,7-5 6-2,Atpalmaty
2025-10-19,2025almaty,Q2,Bernard Tomic,Marc Andrea Huesler,bernardtomic,marcandreahuesler,3-6 7-6(3) 7-6(6),Atpalmaty
2025-10-19,2025almaty,Q2,Marko Topo,Titouan Droguet,markotopo,titouandroguet,6-4 3-6 7-6(5),Atpalmaty
2025-10-19,2025almaty,Q1,James Duckworth,Saba Purtseladze,jamesduckworth,sabapurtseladze,6-3 1-0 RET,Atpalmaty
2025-10-19,2025almaty,Q1,Mikhail Kukushkin,Taro Daniel,mikhailkukushkin,tarodaniel,7-6(3) 6-1,Atpalmaty
2025-10-19,2025almaty,Q1,Rinky Hijikata,Jakub Paul,rinkyhijikata,jakubpaul,7-6(2) 6-3,Atpalmaty
2025-10-19,2025almaty,Q1,Ugo Blanchet,Ilia Simakin,ugoblanchet,iliasimakin,6-3 6-7(8) 7-6(5),Atpalmaty
2025-10-19,2025almaty,Q1,Marc Andrea Huesler,Liam Draxl,marcandreahuesler,liamdraxl,6-4 3-6 6-3,Atpalmaty
2025-10-19,2025almaty,Q1,Bernard Tomic,Denis Yevseyev,bernardtomic,denisyevseyev,4-6 6-1 6-4,Atpalmaty
2025-10-19,2025almaty,Q1,Marko Topo,Billy Harris,markotopo,billyharris,7-6(3) 6-4,Atpalmaty
2025-10-19,2025almaty,Q1,Titouan Droguet,August Holmgren,titouandroguet,augustholmgren,7-6(1) 7-6(1),Atpalmaty
2025-10-19,2025brussels,SF,Jiri Lehecka,Giovanni Mpetshi Perricard,jirilehecka,giovannimpetshiperricard,7-6(3) 7-6(7),Atpbrussels
2025-10-19,2025brussels,SF,Felix Auger Aliassime,Raphael Collignon,felixaugeraliassime,raphaelcollignon,7-6(2) 6-4,Atpbrussels
2025-10-19,2025brussels,QF,Giovanni Mpetshi Perricard,Lorenzo Musetti,giovannimpetshiperricard,lorenzomusetti,6-4 7-6(8),Atpbrussels
2025-10-19,2025brussels,QF,Jiri Lehecka,Benjamin Bonzi,jirilehecka,benjaminbonzi,6-7(8) 6-1 4-1 RET,Atpbrussels
2025-10-19,2025brussels,QF,Raphael Collignon,Alejandro Davidovich Fokina,raphaelcollignon,alejandrodavidovichfokina,7-6(5) 6-1,Atpbrussels
2025-10-19,2025brussels,QF,Felix Auger Aliassime,Eliot Spizzirri,felixaugeraliassime,eliotspizzirri,6-2 7-6(6),Atpbrussels
2025-10-19,2025brussels,R16,Lorenzo Musetti,Yannick Hanfmann,lorenzomusetti,yannickhanfmann,7-6(3) 7-5,Atpbrussels
2025-10-19,2025brussels,R16,Giovanni Mpetshi Perricard,Nikoloz Basilashvili,giovannimpetshiperricard,nikolozbasilashvili,7-5 0-0 RET,Atpbrussels
2025-10-19,2025brussels,R16,Jiri Lehecka,Gilles Arnaud Bailly,jirilehecka,gillesarnaudbailly,6-3 6-2,Atpbrussels
2025-10-19,2025brussels,R16,Benjamin Bonzi,Valentin Royer,benjaminbonzi,valentinroyer,7-6(3) 4-6 6-1,Atpbrussels
2025-10-19,2025brussels,R16,Raphael Collignon,Francisco Comesana,raphaelcollignon,franciscocomesana,7-5 3-6 7-6(10),Atpbrussels
2025-10-19,2025brussels,R16,Alejandro Davidovich Fokina,Marcos Giron,alejandrodavidovichfokina,marcosgiron,6-7(5) 6-1 6-4,Atpbrussels
2025-10-19,2025brussels,R16,Eliot Spizzirri,Botic Van De Zandschulp,eliotspizzirri,boticvandezandschulp,7-5 6-0,Atpbrussels
2025-10-19,2025brussels,R16,Felix Auger Aliassime,Damir Dzumhur,felixaugeraliassime,damirdzumhur,7-6(3) 4-6 7-6(5),Atpbrussels
2025-10-19,2025brussels,R32,Yannick Hanfmann,Matteo Arnaldi,yannickhanfmann,matteoarnaldi,6-7(4) 6-4 6-4,Atpbrussels
2025-10-19,2025brussels,R32,Nikoloz Basilashvili,Quentin Halys,nikolozbasilashvili,quentinhalys,6-4 6-4,Atpbrussels
2025-10-19,2025brussels,R32,Giovanni Mpetshi Perricard,Emil Ruusuvuori,giovannimpetshiperricard,emilruusuvuori,7-6(4) 6-7(5) 6-4,Atpbrussels
2025-10-19,2025brussels,R32,Gilles Arnaud Bailly,Daniel Altmaier,gillesarnaudbailly,danielaltmaier,6-4 6-7(10) 6-3,Atpbrussels
2025-10-19,2025brussels,R32,Benjamin Bonzi,Reilly Opelka,benjaminbonzi,reillyopelka,6-4 6-4,Atpbrussels
2025-10-19,2025brussels,R32,Valentin Royer,Sebastian Baez,valentinroyer,sebastianbaez,6-2 6-3,Atpbrussels
2025-10-19,2025brussels,R32,Raphael Collignon,Zizou Bergs,raphaelcollignon,zizoubergs,6-4 7-6(5),Atpbrussels
2025-10-19,2025brussels,R32,Francisco Comesana,David Goffin,franciscocomesana,davidgoffin,7-6(5) 6-4,Atpbrussels
2025-10-19,2025brussels,R32,Marcos Giron,Mattia Bellucci,marcosgiron,mattiabellucci,6-3 6-4,Atpbrussels
2025-10-19,2025brussels,R32,Botic Van De Zandschulp,Joao Fonseca,boticvandezandschulp,joaofonseca,7-5 7-6(2),Atpbrussels
