tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Madrid,"De Minaur, Alex","Shapovalov, Denis",1.27,3.54,2025-04-29 06:06:09 UTC
ATP Madrid,"Tiafoe, Francis","Müller, Alexandre",1.65,2.16,2025-04-29 06:06:09 UTC
ATP Madrid,"Khachanov, Karen","Paul, Tommy",2.19,1.63,2025-04-29 06:06:09 UTC
ATP Madrid,"Norrie, Cameron","Diallo, Gabriel",1.8,1.95,2025-04-29 06:06:09 UTC
ATP Madrid,"Mensik, Jakub",Bublik Alexander,1.35,3.04,2025-04-29 06:06:09 UTC
ATP Madrid,Tsitsipas Stefano,"Musetti, Lorenzo",1.83,1.91,2025-04-29 06:06:09 UTC
ATP Madrid,"Draper, Jack","Berrettini, Matteo",1.51,2.46,2025-04-29 06:06:09 UTC
ATP Madrid,"Zverev, Alexander","Cerundolo, Francisco",1.5,2.48,2025-04-29 06:06:09 UTC
ATP Madrid,"Medvedev, Daniil","Nakashima, Brand.",1.35,3.04,2025-04-29 06:06:09 UTC
ATP Madrid,"Fritz, Taylor","Ruud, Casper",2.12,1.67,2025-04-29 06:06:09 UTC
Challenger Guangzhou,"Walton, Adam","Ilagan, Andre",1.21,3.77,2025-04-29 06:06:09 UTC
Challenger Guangzhou,"Bouzige, Moerani","Roh, Hoyoung",1.26,3.35,2025-04-29 06:06:09 UTC
Challenger Guangzhou,"Sun, Fajing","Kachmazov, Alibek",2.58,1.42,2025-04-29 06:06:09 UTC
Challenger Guangzhou,"Jasika, Omar","Langmo, Christian",1.6,2.14,2025-04-29 06:06:09 UTC
Challenger Guangzhou,"Hsu, Yu Hsiou","Escoffier, Antoine",2.14,1.6,2025-04-29 06:06:09 UTC
Challenger Aix-en-Provence Qualification,"Bouquier, Arthur","Vacherot, Valentin",3.42,1.25,2025-04-29 06:06:09 UTC
Challenger Aix-en-Provence Qualification,"Hemery, Calvin","Buse, Ignacio",2.18,1.58,2025-04-29 06:06:09 UTC
Challenger Aix-en-Provence Qualification,"Lajal, Mark",Paire Benoit,1.46,2.46,2025-04-29 06:06:09 UTC
Challenger Aix-en-Provence Qualification,"Droguet, Titouan",Ramos Vinolas Albert,1.58,2.18,2025-04-29 06:06:09 UTC
Challenger Estoril,"Nardi, Luca","Kovacevic, Aleksandar",1.75,1.92,2025-04-29 06:06:09 UTC
Challenger Estoril,"Vukic, Aleksandar","Moreno De Alboran, Nicolas",1.57,2.2,2025-04-29 06:06:09 UTC
Challenger Estoril,"Tien, Learner","Elias, Gastao",1.26,3.35,2025-04-29 06:06:09 UTC
Challenger Estoril,"Lajovic, Dusan","Quinn, Ethan",1.67,2.03,2025-04-29 06:06:09 UTC
Challenger Estoril,"Martinez Portero, Pedro","Dougaz, Aziz",1.25,3.42,2025-04-29 06:06:09 UTC
Challenger Estoril,"De Jong, Jesper","Fonseca, Joao",3.87,1.2,2025-04-29 06:06:09 UTC
Challenger Estoril,"Rocha, Henrique","Jarry, Nicolas",3.58,1.23,2025-04-29 06:06:09 UTC
Challenger Estoril,"Kecmanovic, Miomir","Struff, Jan-Lennard",1.52,2.3,2025-04-29 06:06:09 UTC
Qualification Challenger Estoril,"Yevseyev, Denis","Fonio, Giovanni",2.14,1.6,2025-04-29 06:06:09 UTC
Qualification Challenger Estoril,"Pellegrino, Andrea","Zapata Miralles, Bernabe",1.65,2.06,2025-04-29 06:06:09 UTC
Qualification Challenger Estoril,"Pereira, Tiago","Zeppieri, Giulio",3.28,1.27,2025-04-29 06:06:09 UTC
