ResultDate,TournamentKey,Round,WinnerName,LoserName,WinnerNameKey,LoserNameKey,Score,TournamentName
2025-10-30,2025paris,R32,Cameron Norrie,Carlos Alcaraz,cameronnorrie,carlosalcaraz,4-6 6-3 6-4,Atpparis
2025-10-30,2025paris,R32,Valentin Vacherot,Arthur Rinderknech,valentinvacherot,arthurrinderknech,6-7(9) 6-3 6-4,Atpparis
2025-10-30,2025paris,R32,Felix Auger Aliassime,Alexandre Muller,felixaugeraliassime,alexandremuller,5-7 7-6(5) 7-6(4),Atpparis
2025-10-30,2025paris,R32,Daniel Altmaier,Casper Ruud,danielaltmaier,casperruud,6-3 7-5,Atpparis
2025-10-30,2025paris,R32,Taylor Fritz,Aleksandar Vukic,taylorfritz,aleksandarvukic,7-6(4) 6-2,Atpparis
2025-10-30,2025paris,R32,Alexander Bublik,Corentin Moutet,alexanderbublik,corentinmoutet,6-3 7-5,Atpparis
2025-10-30,2025paris,R32,Karen Khachanov,Joao Fonseca,karenkhachanov,joaofonseca,6-1 3-6 6-3,Atpparis
2025-10-30,2025paris,R32,Alex De Minaur,Gabriel Diallo,alexdeminaur,gabrieldiallo,7-6(8) 4-6 6-3,Atpparis
2025-10-30,2025paris,R32,Lorenzo Sonego,Lorenzo Musetti,lorenzosonego,lorenzomusetti,3-6 6-3 6-1,Atpparis
2025-10-30,2025paris,R32,Alejandro Davidovich Fokina,Arthur Cazaux,alejandrodavidovichfokina,arthurcazaux,7-6(5) 6-4,Atpparis
2025-10-30,2025paris,R32,Alexander Zverev,Camilo Ugo Carabelli,alexanderzverev,camilougocarabelli,6-7(5) 6-1 7-5,Atpparis
2025-10-30,2025paris,R32,Ben Shelton,Flavio Cobolli,benshelton,flaviocobolli,7-6(4) 6-3,Atpparis
2025-10-30,2025paris,R32,Andrey Rublev,Learner Tien,andreyrublev,learnertien,6-4 6-4,Atpparis
2025-10-30,2025paris,R32,Francisco Cerundolo,Miomir Kecmanovic,franciscocerundolo,miomirkecmanovic,7-5 1-6 7-6(4),Atpparis
2025-10-30,2025paris,R32,Jannik Sinner,Zizou Bergs,janniksinner,zizoubergs,6-4 6-2,Atpparis
2025-10-30,2025paris,R64,Cameron Norrie,Sebastian Baez,cameronnorrie,sebastianbaez,6-3 6-4,Atpparis
2025-10-30,2025paris,R64,Arthur Rinderknech,Fabian Marozsan,arthurrinderknech,fabianmarozsan,7-6(5) 7-6(4),Atpparis
2025-10-30,2025paris,R64,Valentin Vacherot,Jiri Lehecka,valentinvacherot,jirilehecka,6-1 6-3,Atpparis
2025-10-30,2025paris,R64,Felix Auger Aliassime,Francisco Comesana,felixaugeraliassime,franciscocomesana,6-7(2) 6-3 6-3,Atpparis
2025-10-30,2025paris,R64,Alexandre Muller,Brandon Nakashima,alexandremuller,brandonnakashima,6-2 7-5,Atpparis
2025-10-30,2025paris,R64,Daniel Altmaier,Marcos Giron,danielaltmaier,marcosgiron,6-2 7-6(5),Atpparis
2025-10-30,2025paris,R64,Aleksandar Vukic,Terence Atmane,aleksandarvukic,terenceatmane,6-4 2-6 6-4,Atpparis
2025-10-30,2025paris,R64,Corentin Moutet,Reilly Opelka,corentinmoutet,reillyopelka,3-6 7-5 6-1,Atpparis
2025-10-30,2025paris,R64,Alexander Bublik,Alexei Popyrin,alexanderbublik,alexeipopyrin,6-4 6-3,Atpparis
2025-10-30,2025paris,R64,Karen Khachanov,Ethan Quinn,karenkhachanov,ethanquinn,6-1 6-1,Atpparis
2025-10-30,2025paris,R64,Joao Fonseca,Denis Shapovalov,joaofonseca,denisshapovalov,5-7 6-4 6-3,Atpparis
2025-10-30,2025paris,R64,Gabriel Diallo,Tallon Griekspoor,gabrieldiallo,tallongriekspoor,6-3 6-4,Atpparis
2025-10-30,2025paris,R64,Lorenzo Sonego,Sebastian Korda,lorenzosonego,sebastiankorda,6-2 6-3,Atpparis
2025-10-30,2025paris,R64,Grigor Dimitrov,Giovanni Mpetshi Perricard,grigordimitrov,giovannimpetshiperricard,7-6(5) 6-1,Atpparis
2025-10-30,2025paris,R64,Daniil Medvedev,Jaume Munar,daniilmedvedev,jaumemunar,6-1 6-3,Atpparis
2025-10-30,2025paris,R64,Alejandro Davidovich Fokina,Valentin Royer,alejandrodavidovichfokina,valentinroyer,4-6 6-1 6-4,Atpparis
2025-10-30,2025paris,R64,Arthur Cazaux,Luciano Darderi,arthurcazaux,lucianodarderi,7-6(5) 7-6(4),Atpparis
2025-10-30,2025paris,R64,Camilo Ugo Carabelli,Tomas Martin Etcheverry,camilougocarabelli,tomasmartinetcheverry,7-5 6-3,Atpparis
2025-10-30,2025paris,R64,Flavio Cobolli,Tomas Machac,flaviocobolli,tomasmachac,6-1 6-4,Atpparis
2025-10-30,2025paris,R64,Learner Tien,Nuno Borges,learnertien,nunoborges,6-2 7-6(7),Atpparis
2025-10-30,2025paris,R64,Andrey Rublev,Jacob Fearnley,andreyrublev,jacobfearnley,6-1 6-4,Atpparis
2025-10-30,2025paris,R64,Francisco Cerundolo,Damir Dzumhur,franciscocerundolo,damirdzumhur,6-3 6-3,Atpparis
2025-10-30,2025paris,R64,Miomir Kecmanovic,Aleksandar Kovacevic,miomirkecmanovic,aleksandarkovacevic,6-4 1-6 7-6(2),Atpparis
2025-10-30,2025paris,R64,Zizou Bergs,Alex Michelsen,zizoubergs,alexmichelsen,6-3 2-6 6-2,Atpparis
2025-10-30,2025paris,Q2,Ethan Quinn,Botic Van De Zandschulp,ethanquinn,boticvandezandschulp,6-3 7-6(4),Atpparis
2025-10-30,2025paris,Q2,Sebastian Korda,Valentin Royer,sebastiankorda,valentinroyer,6-2 5-7 6-4,Atpparis
2025-10-30,2025paris,Q2,Jacob Fearnley,Yannick Hanfmann,jacobfearnley,yannickhanfmann,6-4 6-2,Atpparis
2025-10-30,2025paris,Q2,Tomas Martin Etcheverry,Jesper De Jong,tomasmartinetcheverry,jesperdejong,6-2 6-3,Atpparis
2025-10-30,2025paris,Q2,Damir Dzumhur,Aleksandar Kovacevic,damirdzumhur,aleksandarkovacevic,6-7(2) 6-3 7-6(7),Atpparis
2025-10-30,2025paris,Q2,Francisco Comesana,David Goffin,franciscocomesana,davidgoffin,6-1 0-0 RET,Atpparis
2025-10-30,2025paris,Q1,Botic Van De Zandschulp,Jenson Brooksby,boticvandezandschulp,jensonbrooksby,4-6 6-3 6-3,Atpparis
2025-10-30,2025paris,Q1,Ethan Quinn,Ugo Blanchet,ethanquinn,ugoblanchet,6-2 6-3,Atpparis
