TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atpwinston Salem,R64,Mariano Navone,Dhakshineswar Suresh,78.9000,21.1000,,,1.2700,4.7400,,,,,,
Atpwinston Salem,R64,Raphael Collignon,Nishesh Basavareddy,51.0000,49.0000,,,1.9600,2.0400,,,,,,
Atpwinston Salem,R64,Borna Coric,Darwin Blanch,94.2000,5.8000,,,1.0600,17.2400,,,,,,
Atpwinston Salem,R64,Aleksandar Kovacevic,Filip Misolic,50.8000,49.2000,,,1.9700,2.0300,,,,,,
Atpwinston Salem,R64,Stefan Dostanic,Aleksandar Vukic,9.9000,90.1000,,,10.1000,1.1100,,,,,,
Atpwinston Salem,R64,Francisco Comesana,Mattia Bellucci,52.8000,47.2000,,,1.8900,2.1200,,,,,,
Atpwinston Salem,R64,Roman Safiullin,Christopher Oconnell,52.8000,47.2000,,,1.8900,2.1200,,,,,,
Atpwinston Salem,R64,Hugo Gaston,Marton Fucsovics,33.5000,66.5000,,,2.9900,1.5000,,,,,,
