TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atpalmaty,R32,Jan Lennard Struff,Mackenzie Mcdonald,49.8000,50.2000,,,2.0100,1.9900,,,,,,
Atpalmaty,R32,Laslo Djere,Alexander Shevchenko,50.0000,50.0000,,,2.0000,2.0000,,,,,,
Atpalmaty,R32,Arthur Cazaux,Shintaro Mochizuki,70.3000,29.7000,,,1.4200,3.3700,,,,,,
Atpalmaty,R32,Aleksandar Vukic,Marko Topo,75.6000,24.4000,,,1.3200,4.1000,,,,,,
Atpalmaty,R32,Beibit Zhukayev,Alex Michelsen,19.2000,80.8000,,,5.2100,1.2400,,,,,,
Atpbrussels,R32,Yannick Hanfmann,Matteo Arnaldi,44.0000,56.0000,,,2.2700,1.7900,,,,,,
Atpbrussels,R32,Quentin Halys,Nikoloz Basilashvili,50.3000,49.7000,,,1.9900,2.0100,,,,,,
Atpbrussels,R32,Emil Ruusuvuori,Giovanni Mpetshi Perricard,33.6000,66.4000,,,2.9800,1.5100,,,,,,
Atpbrussels,R32,Daniel Altmaier,Gilles Arnaud Bailly,75.0000,25.0000,,,1.3300,4.0000,,,,,,
Atpbrussels,R32,Valentin Royer,Sebastian Baez,68.4000,31.6000,,,1.4600,3.1600,,,,,,
Atpstockholm,R32,Jesper De Jong,Marton Fucsovics,40.0000,60.0000,,,2.5000,1.6700,,,,,,
Atpstockholm,R32,Mark Lajal,Tomas Martin Etcheverry,33.8000,66.2000,,,2.9600,1.5100,,,,,,
Atpstockholm,R32,Matteo Berrettini,Giulio Zeppieri,64.8000,35.2000,,,1.5400,2.8400,,,,,,
Atpstockholm,R32,Arthur Fery,Lorenzo Sonego,42.2000,57.8000,,,2.3700,1.7300,,,,,,
Atpstockholm,R32,Aleksandar Kovacevic,Camilo Ugo Carabelli,46.1000,53.9000,,,2.1700,1.8600,,,,,,
Olbiachallenger,R32,Alejandro Tabilo,Lorenzo Carboni,96.7000,3.3000,,,1.0300,30.3000,,,,,,
Olbiachallenger,R32,Daniil Glinka,Clement Tabur,63.5000,36.5000,,,1.5700,2.7400,,,,,,
Olbiachallenger,R32,Pierluigi Basile,Pablo Carreno Busta,7.0000,93.0000,,,14.2900,1.0800,,,,,,
Curitibachallenger,R32,Andrea Collarini,Matias Soto,68.6000,31.4000,,,1.4600,3.1800,,,,,,
Curitibachallenger,R32,Miguel Tobon,Murkel Alejandro Dellien Velasco,49.5000,50.5000,,,2.0200,1.9800,,,,,,
Curitibachallenger,R32,Joao Lucas Reis Da Silva,Tomas Barrios Vera,31.2000,68.8000,,,3.2100,1.4500,,,,,,
Lincolnchallenger,R32,Brandon Holt,Aryan Shah,72.9000,27.1000,,,1.3700,3.6900,,,,,,
Lincolnchallenger,R32,Keegan Smith,Jeri Lassila,37.4000,62.6000,,,2.6700,1.6000,,,,,,
Lincolnchallenger,R32,Rafael Jodar,Cannon Kingsley,80.2000,19.8000,,,1.2500,5.0500,,,,,,
Lincolnchallenger,R32,Max Wiskandt,Benjamin Hassan,23.5000,76.5000,,,4.2600,1.3100,,,,,,
Shenzhenfutian Challenger,R32,Ye Cong Mo,Khumoyun Sultanov,20.3000,79.7000,,,4.9300,1.2500,,,,,,
Shenzhenfutian Challenger,R16,Fajing Sun,Hyeon Chung,21.9000,78.1000,,,4.5700,1.2800,,,,,,
Hersonissos6Challenger,R32,Giles Hussey,Petr Brunclik,37.2000,62.8000,,,2.6900,1.5900,,,,,,
Hersonissos6Challenger,R32,Maxim Mrva,Antoine Escoffier,45.5000,54.5000,,,2.2000,1.8300,,,,,,
Hersonissos6Challenger,R32,Karan Singh,Stefanos Sakellaridis,18.4000,81.6000,,,5.4300,1.2300,,,,,,
