TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Targumureschallenger,R32,Mihai Alexandru Coman,Marco Trungelliti,11.4000,88.6000,,,8.7700,1.1300,,,,,,
Targumureschallenger,R32,Bernabe Zapata Miralles,Mika Brunold,52.2000,47.8000,,,1.9200,2.0900,,,,,,
Targumureschallenger,R32,Dan Martin,Franco Agamenone,28.4000,71.6000,,,3.5200,1.4000,,,,,,
Targumureschallenger,R32,Max Alcala Gurri,Imanol Lopez Morillo,30.4000,69.6000,,,3.2900,1.4400,,,,,,
