TournamentName,TournamentURL,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,Player1_Match_Odds,Player2_Match_Odds,ModelName,ScrapeTimestampUTC
Atpmadrid,https://www.tennisabstract.com/current/2025ATPMadrid.html,SF,Francisco Cerundolo,Casper Ruud,43.0,57.0,2.33,1.75,Sackmann,2025-05-02 06:04:51 UTC
Atpmadrid,https://www.tennisabstract.com/current/2025ATPMadrid.html,SF,Jack Draper,Lorenzo Musetti,31.5,68.5,3.17,1.46,Sackmann,2025-05-02 06:04:51 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,QF,Andrea Pellegrino,Nicolas Jarry,24.2,75.8,4.13,1.32,Sackmann,2025-05-02 06:04:51 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,QF,Aleksandar Vukic,Bernabe Zapata Miralles,62.3,37.7,1.61,2.65,Sackmann,2025-05-02 06:04:51 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,QF,Miomir Kecmanovic,Nuno Borges,44.1,55.9,2.27,1.79,Sackmann,2025-05-02 06:04:51 UTC
Estorilchallenger,https://www.tennisabstract.com/current/2025EstorilChallenger.html,QF,Luca Nardi,Alex Michelsen,43.2,56.8,2.31,1.76,Sackmann,2025-05-02 06:04:51 UTC
Mauthausenchallenger,https://www.tennisabstract.com/current/2025MauthausenChallenger.html,QF,Alexander Blockx,Jerome Kym,37.8,62.2,2.65,1.61,Sackmann,2025-05-02 06:04:51 UTC
Mauthausenchallenger,https://www.tennisabstract.com/current/2025MauthausenChallenger.html,QF,Marco Trungelliti,Tomas Barrios Vera,43.2,56.8,2.31,1.76,Sackmann,2025-05-02 06:04:51 UTC
Mauthausenchallenger,https://www.tennisabstract.com/current/2025MauthausenChallenger.html,QF,Cristian Garin,Neil Oberleitner,90.8,9.2,1.1,10.87,Sackmann,2025-05-02 06:04:51 UTC
Mauthausenchallenger,https://www.tennisabstract.com/current/2025MauthausenChallenger.html,QF,Thiago Agustin Tirante,Roman Andres Burruchaga,51.1,48.9,1.96,2.04,Sackmann,2025-05-02 06:04:51 UTC
Guangzhouchallenger,https://www.tennisabstract.com/current/2025GuangzhouChallenger.html,QF,Alibek Kachmazov,James Mccabe,51.0,49.0,1.96,2.04,Sackmann,2025-05-02 06:04:51 UTC
Guangzhouchallenger,https://www.tennisabstract.com/current/2025GuangzhouChallenger.html,QF,Tristan Schoolkate,Hugo Grenier,55.5,44.5,1.8,2.25,Sackmann,2025-05-02 06:04:51 UTC
Guangzhouchallenger,https://www.tennisabstract.com/current/2025GuangzhouChallenger.html,QF,Ilia Simakin,Terence Atmane,0.0,100.0,,1.0,Sackmann,2025-05-02 06:04:51 UTC
Guangzhouchallenger,https://www.tennisabstract.com/current/2025GuangzhouChallenger.html,QF,Yu Hsiou Hsu,Brandon Holt,0.0,100.0,,1.0,Sackmann,2025-05-02 06:04:51 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,QF,Vit Kopriva,Hady Habib,76.8,23.2,1.3,4.31,Sackmann,2025-05-02 06:04:51 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,QF,Henri Squire,Oriol Roca Batalla,53.2,46.8,1.88,2.14,Sackmann,2025-05-02 06:04:51 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,QF,Daniel Rincon,Zsombor Piros,40.9,59.1,2.44,1.69,Sackmann,2025-05-02 06:04:51 UTC
Ostravachallenger,https://www.tennisabstract.com/current/2025OstravaChallenger.html,QF,Gauthier Onclin,Petr Brunclik,71.9,28.1,1.39,3.56,Sackmann,2025-05-02 06:04:51 UTC
Portoalegrechallenger,https://www.tennisabstract.com/current/2025PortoAlegreChallenger.html,QF,Matheus Pucinelli De Almeida,Lautaro Midon,61.1,38.9,1.64,2.57,Sackmann,2025-05-02 06:04:51 UTC
Portoalegrechallenger,https://www.tennisabstract.com/current/2025PortoAlegreChallenger.html,QF,Santiago Fa Rodriguez Taverna,Guido Ivan Justo,68.9,31.1,1.45,3.22,Sackmann,2025-05-02 06:04:51 UTC
Portoalegrechallenger,https://www.tennisabstract.com/current/2025PortoAlegreChallenger.html,QF,Eduardo Ribeiro,Nikolas Sanchez Izquierdo,52.3,47.7,1.91,2.1,Sackmann,2025-05-02 06:04:51 UTC
Portoalegrechallenger,https://www.tennisabstract.com/current/2025PortoAlegreChallenger.html,QF,Alex Barrena,Joao Lucas Reis Da Silva,31.2,68.8,3.21,1.45,Sackmann,2025-05-02 06:04:51 UTC
Aix En Provencechallenger,https://www.tennisabstract.com/current/2025Aix-en-ProvenceChallenger.html,QF,Stan Wawrinka,Nishesh Basavareddy,78.7,21.3,1.27,4.69,Sackmann,2025-05-02 06:04:51 UTC
Aix En Provencechallenger,https://www.tennisabstract.com/current/2025Aix-en-ProvenceChallenger.html,QF,Valentin Vacherot,Borna Gojo,55.2,44.8,1.81,2.23,Sackmann,2025-05-02 06:04:51 UTC
Aix En Provencechallenger,https://www.tennisabstract.com/current/2025Aix-en-ProvenceChallenger.html,QF,Borna Coric,Mariano Navone,45.4,54.6,2.2,1.83,Sackmann,2025-05-02 06:04:51 UTC
Aix En Provencechallenger,https://www.tennisabstract.com/current/2025Aix-en-ProvenceChallenger.html,QF,Reilly Opelka,Ignacio Buse,75.8,24.2,1.32,4.13,Sackmann,2025-05-02 06:04:51 UTC
