tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Madrid,"Cerundolo, Francisco","Ruud, Casper",2.01,1.75,2025-05-02 06:05:54 UTC
ATP Madrid,"Draper, Jack","Musetti, Lorenzo",1.5,2.48,2025-05-02 06:05:54 UTC
Challenger Mauthausen,"Tirante, Thiago Agustin","Burruchaga, Roman Andres",1.64,2.07,2025-05-02 06:05:54 UTC
Challenger Mauthausen,Garin Christian,"Oberleitner, Neil",1.17,4.21,2025-05-02 06:05:54 UTC
Challenger Mauthausen,"Trungelliti, Marco","Barrios Vera, Marcelo Tomas",2.24,1.55,2025-05-02 06:05:54 UTC
Challenger Mauthausen,"Blockx, Alexander","Kym, Jérôme",2.18,1.58,2025-05-02 06:05:54 UTC
Challenger Estoril,"Pellegrino, Andrea","Jarry, Nicolas",2.8,1.36,2025-05-02 06:05:54 UTC
Challenger Estoril,"Kecmanovic, Miomir","Borges, Nuno",1.8,1.86,2025-05-02 06:05:54 UTC
Challenger Estoril,"Nardi, Luca","Michelsen, Alex",1.89,1.78,2025-05-02 06:05:54 UTC
Challenger Aix-en-Provence,"Coric, Borna","Navone, Mariano",2.2,1.57,2025-05-02 06:05:54 UTC
Challenger Aix-en-Provence,"Opelka, Reilly","Buse, Ignacio",1.64,2.07,2025-05-02 06:05:54 UTC
Challenger Aix-en-Provence,"Wawrinka, Stan","Basavareddy, Nishesh",1.6,2.14,2025-05-02 06:05:54 UTC
Challenger Aix-en-Provence,"Vacherot, Valentin","Gojo, Borna",1.83,1.83,2025-05-02 06:05:54 UTC
Challenger Guangzhou,"Schoolkate, Tristan",Grenier Hugo,1.42,2.58,2025-05-02 06:05:54 UTC
Challenger Ostrava,"Squire, Henri","Roca Batalla, Oriol",1.76,1.91,2025-05-02 06:05:54 UTC
Challenger Ostrava,"Rincon, Daniel","Piros, Zsombor",2.07,1.64,2025-05-02 06:05:54 UTC
Challenger Ostrava,"Kopriva, Vit",Habib Hady,1.28,3.22,2025-05-02 06:05:54 UTC
Challenger Ostrava,"Onclin, Gauthier","Brunclik, Petr",1.63,2.09,2025-05-02 06:05:54 UTC
Challenger Porto Alegre,"Pucinelli De Almeida, Matheus","Midon, Lautaro",1.77,1.9,2025-05-02 06:05:54 UTC
Challenger Porto Alegre,"Ribeiro, Eduardo","Sanchez-Izquierdo, Nikolas",3.1,1.3,2025-05-02 06:05:54 UTC
