tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP S-Hertogenbosch,"Bergs, Zizou","Diallo, Gabriel",2.34,1.53,2025-06-15 06:17:30 UTC
ATP Stuttgart,"Zverev, Alexander","Fritz, Taylor",1.65,2.11,2025-06-15 06:17:30 UTC
ATP Halle,"Bergs, Zizou","Khachanov, Karen",2.67,1.44,2025-06-15 06:17:30 UTC
ATP Halle,"Altmaier, Daniel","Medvedev, Daniil",4.66,1.17,2025-06-15 06:17:30 UTC
ATP Halle,"Humbert, Ugo","Shapovalov, Denis",1.55,2.36,2025-06-15 06:17:30 UTC
ATP Halle,Giron Marcos,"Zverev, Alexander",5.66,1.12,2025-06-15 06:17:30 UTC
ATP Halle,"Sonego, Lorenzo","Struff, Jan-Lennard",1.87,1.87,2025-06-15 06:17:30 UTC
ATP Halle,"Müller, Alexandre",Bublik Alexander,3.04,1.35,2025-06-15 06:17:30 UTC
ATP Halle,"Fonseca, Joao","Cobolli, Flavio",1.53,2.4,2025-06-15 06:17:30 UTC
ATP Halle,"Cerundolo, Francisco","Michelsen, Alex",1.72,2.05,2025-06-15 06:17:30 UTC
ATP Halle,Tsitsipas Stefano,"Darderi, Luciano",1.23,3.9,2025-06-15 06:17:30 UTC
ATP Halle,"Marozsan, Fabian","Kecmanovic, Miomir",2.25,1.6,2025-06-15 06:17:30 UTC
ATP Halle,"Martinez Portero, Pedro","Etcheverry, Tomas Martin",2.43,1.52,2025-06-15 06:17:30 UTC
ATP Halle,Hurkacz Hubert,"Machac, Tomas",1.6,2.25,2025-06-15 06:17:30 UTC
ATP Londres,"Diallo, Gabriel","Harris, Billy",1.35,3.04,2025-06-15 06:17:30 UTC
ATP Londres,"Nakashima, Brand.","Mpetshi-Perricard, Giovanni",1.73,2.03,2025-06-15 06:17:30 UTC
ATP Londres,Dimitrov Grigor,"Monfils, Gaël",1.7,2.08,2025-06-15 06:17:30 UTC
ATP Londres,"Opelka, Reilly","Ugo Carabelli, Camilo",1.09,6.58,2025-06-15 06:17:30 UTC
ATP Londres,"Thompson, Jordan","Munar, Jaume",1.23,3.9,2025-06-15 06:17:30 UTC
ATP Londres,"De Minaur, Alex","Lehecka, Jiri",1.52,2.43,2025-06-15 06:17:30 UTC
ATP Londres,"Bautista Agut, Roberto","Borges, Nuno",1.77,1.98,2025-06-15 06:17:30 UTC
ATP Londres,"Alcaraz Garfia, Carlos","Davidovich Fokina, Alejandro",1.06,7.93,2025-06-15 06:17:30 UTC
ATP Londres,"Rune, Holger","Arnaldi, Matteo",1.19,4.36,2025-06-15 06:17:30 UTC
ATP Londres,"Brooksby, Jenson","Draper, Jack",7.93,1.06,2025-06-15 06:17:30 UTC
ATP Londres,"Tiafoe, Francis","Evans, Daniel",1.38,2.9,2025-06-15 06:17:30 UTC
ATP Londres,"Norrie, Cameron","Mensik, Jakub",2.19,1.63,2025-06-15 06:17:30 UTC
ATP Halle Qualification,"Djere, Laslo","De Jong, Jesper",1.75,1.96,2025-06-15 06:17:30 UTC
ATP Halle Qualification,"Bonzi, Benjamin","Tu, Li",1.47,2.5,2025-06-15 06:17:30 UTC
ATP Halle Qualification,"Jarry, Nicolas","Hanfmann, Yannick",1.7,2.03,2025-06-15 06:17:30 UTC
ATP Halle Qualification,"Engel, Justin","Ofner, Sebastian",2.85,1.37,2025-06-15 06:17:30 UTC
ATP Londres Qualification,Moutet Corentin,"Rinderknech, Arthur",1.9,1.8,2025-06-15 06:17:30 UTC
ATP Londres Qualification,"Searle, Henry","Mcdonald, Mackenzie",2.73,1.4,2025-06-15 06:17:30 UTC
ATP Londres Qualification,"Bolt, Alex","O`Connell, Christopher",1.8,1.9,2025-06-15 06:17:30 UTC
ATP Londres Qualification,"Walton, Adam","Vukic, Aleksandar",2.19,1.6,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Fognini, Fabio","Eubanks, Christopher",2.03,1.67,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Cazaux, Arthur","Mannarino, Adrian",1.92,1.75,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Peniston, Ryan","Galan, Daniel Elahi",2.06,1.65,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Holt, Brandon","Faria, Jaime",1.23,3.58,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Schoolkate, Tristan","Blockx, Alexander",1.83,1.83,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Landaluce, Martin","Budkov Kjaer, Nicolai",1.38,2.72,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Pinnington Jones, Jack","Nava, Emilio",1.79,1.87,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Harris, Lloyd","Royer, Valentin",1.27,3.28,2025-06-15 06:17:30 UTC
Challenger Nottingham 2,"Krueger, Mitchell","Boyer, Tristan",2.72,1.38,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Szajrych, Jasza","Rosenkranz, Mats",7.67,1.04,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Alvarez Varona, Nicolas","Juarez, Facundo",1.27,3.28,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Dedura-Palomero, Diego","Maamoun, Karim-Mohamed",1.03,8.26,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Barton, Hynek","Vrbensky, Michael",1.38,2.72,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Krumich, Martin","Wiskandt, Max",1.63,2.09,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Sroka, Milosz","Kodat, T",9.81,1.01,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Paulson, Andrew","Pereira, Tiago",2.0,1.69,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Dutra Da Silva, Daniel",Jorda Sanchis David,1.65,2.06,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Molleker, Rudolf","Paz, Juan Pablo",1.02,8.96,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Alves, Mateus","Bojarski, Alan",1.03,8.26,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"De Loore, Joris","Kolar, Zdenek",1.75,1.92,2025-06-15 06:17:30 UTC
Challenger Poznań Qualification,"Mrva, Maxim","Karol, Milos",1.92,1.75,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"De Schepper, Kenny","Vylegzhanin, Nikolay",2.46,1.46,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Agafonov, Egor","Marionneau, Lucas",1.65,2.06,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Paris, Tom","Gobat, Adrien",1.29,3.16,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Santamarta Roig, Andres","Weber, Arthur",1.17,4.21,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Poullain, Lucas","Jade, Daniel",1.11,5.23,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Alcala Gurri, Max","Dussin, Louis",1.24,3.5,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Beaugé, Maxence","Donnet, Etienne",1.82,1.84,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Delage, Pierre","Malige, Mae",2.24,1.55,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Massard, Loann","Papamalamis, Theo",2.26,1.54,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,"Gadamauri, Buvay.","Zhukov, Maxim",1.3,3.1,2025-06-15 06:17:30 UTC
Challenger Royan Qualification,Agamenone Franco,"Bourgue, Mathias",1.33,2.94,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"Zarate, Carlos Maria","Rodrigues, Pedro (2006)",3.58,1.23,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"Rodriguez, Loren.","Tobon, Miguel",1.34,2.89,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"La Serna, Juan Manuel","Munoz, Diego",1.04,7.67,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"Huertas Del Pino Cordova, Arklon","Sperle, John",2.22,1.56,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"Lora, Santiago","Vilicich, Bautista",7.67,1.04,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"Gerch, Lucas","Li, Christopher",1.21,3.77,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"Alvarez Valdes, Luis Carlos","Gimenez, Igor",1.65,2.06,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"Gomez, Juan Sebastian","Barreiros Reyes, Mateo",2.68,1.39,2025-06-15 06:17:30 UTC
Challenger Santa Cruz Qualification,"Huertas Del Pino, Connor","De La Fuente, Santiago",1.48,2.4,2025-06-15 06:17:30 UTC
Challenger Bratislava,"Royer, Valentin","Prizmic, Dino",2.55,1.43,2025-06-15 06:17:30 UTC
Challenger Ilkley,"Schoolkate, Tristan","Pinnington Jones, Jack",1.72,1.96,2025-06-15 06:17:30 UTC
Challenger Lyon,"Merida, Daniel","Trungelliti, Marco",1.92,1.75,2025-06-15 06:17:30 UTC
Challenger Nottingham 2 Qualification,"Smith, Colton","Trotter, James Kent",1.3,3.1,2025-06-15 06:17:30 UTC
Challenger Nottingham 2 Qualification,"Mccabe, James","Rodesch, Chris",1.67,2.03,2025-06-15 06:17:30 UTC
Challenger Nottingham 2 Qualification,"Ajdukovic, Duje",Grenier Hugo,1.72,1.96,2025-06-15 06:17:30 UTC
Challenger Nottingham 2 Qualification,"Choinski, Jan","Kachmazov, Alibek",2.07,1.64,2025-06-15 06:17:30 UTC
Challenger Nottingham 2 Qualification,"Fery, Arthur","Blanchet, Ugo",1.38,2.72,2025-06-15 06:17:30 UTC
Challenger Pérouse,"Pellegrino, Andrea","Fatic, Nerman",1.53,2.28,2025-06-15 06:17:30 UTC
Challenger Santa Fe,"Reis Da Silva, Joao Lucas","Midon, Lautaro",1.89,1.78,2025-06-15 06:17:30 UTC
