tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
Challenger Tyler Qualification,"Chung, Hyeon","Kumar, Pranav",1.04,7.67,2025-06-02 06:21:26 UTC
Challenger Tyler Qualification,"Bouzige, Moerani","Rybakov, Alex",2.68,1.39,2025-06-02 06:21:26 UTC
Challenger Tyler Qualification,"Hilderbrand, Trey","Shick, Braden",1.66,2.04,2025-06-02 06:21:26 UTC
Challenger Tyler Qualification,"Soriano Barrera, Adria","Strode, Isaiah",1.29,3.16,2025-06-02 06:21:26 UTC
Challenger Tyler Qualification,"Kozlov, Stefan","Tudorica, Alvin Nicholas",1.09,5.73,2025-06-02 06:21:26 UTC
ATP Open de France,"Zverev, Alexander","Griekspoor, Tallon",1.12,5.66,2025-06-02 06:21:26 UTC
ATP Open de France,"Norrie, Cameron","Djokovic, Novak",6.97,1.08,2025-06-02 06:21:26 UTC
ATP Open de France,Bublik Alexander,"Draper, Jack",6.97,1.08,2025-06-02 06:21:26 UTC
ATP Open de France,"Sinner, Jannik",Rublev Andrey,1.02,11.22,2025-06-02 06:21:26 UTC
ATP Open de France,"Paul, Tommy","Alcaraz Garfia, Carlos",6.97,1.08,2025-06-02 06:21:26 UTC
ATP Open de France,"Musetti, Lorenzo","Tiafoe, Francis",1.19,4.36,2025-06-02 06:21:26 UTC
Challenger Tyler,"Noguchi, Rio","Langmo, Christian",1.38,2.72,2025-06-02 06:21:26 UTC
Challenger Tyler,"Mayo, Aidan","Sell, Karue",2.65,1.4,2025-06-02 06:21:26 UTC
Challenger Tyler,"Krueger, Mitchell",Wu Tung Lin,1.42,2.58,2025-06-02 06:21:26 UTC
Challenger Tyler,"Martin, Andres","Dougaz, Aziz",1.83,1.83,2025-06-02 06:21:26 UTC
Challenger Tyler,"Andrade, Andres","Jodar, Rafael",1.68,2.01,2025-06-02 06:21:26 UTC
Challenger Tyler,"Zheng, Michael","Dostanic, Stefan",1.48,2.4,2025-06-02 06:21:26 UTC
Challenger Tyler,"Zink, Tyler","Mejia, Nicolas",2.18,1.58,2025-06-02 06:21:26 UTC
Challenger Tyler,"Maloney, Patrick","Nakagawa, Naoki",1.72,1.96,2025-06-02 06:21:26 UTC
Challenger Tyler,"Bigun, Kaylan","Ivashka, Ilya",3.67,1.22,2025-06-02 06:21:26 UTC
Challenger Tyler,"Svajda, Trevor","Draxl, Liam",3.1,1.3,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Martin Tiffon, Pol","Pacheco Mendez, Rodrigo",1.48,2.4,2025-06-02 06:21:26 UTC
Challenger Heilbronn,Nagal Sumit,"Gentzsch, Tom",1.5,2.35,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Skatov, Timofey","Buse, Ignacio",2.0,1.69,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Trungelliti, Marco","Choinski, Jan",1.7,1.99,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Yevseyev, Denis","Carreno Busta, Pablo",4.09,1.18,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Moller, Elmer","Den Ouden, Guy",1.42,2.58,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Sharipov, Marat","Nava, Emilio",3.42,1.25,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Houkes, Max","Durasovic, Viktor",1.52,2.3,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Engel, Justin","Mena, Facundo",1.99,1.7,2025-06-02 06:21:26 UTC
Challenger Heilbronn,"Nardi, Luca","Rincon, Daniel",1.43,2.55,2025-06-02 06:21:26 UTC
Challenger Prostejov,"Mensik, Jakub",Sachko Vitaliy,1.08,6.02,2025-06-02 06:21:26 UTC
Challenger Prostejov,"Rodionov, Jurij","Hsu, Yu Hsiou",1.42,2.57,2025-06-02 06:21:26 UTC
Challenger Prostejov,"Dellien, Hugo","Martineau, Matteo",1.16,4.35,2025-06-02 06:21:26 UTC
Challenger Prostejov,"Klein, Lukas","Holmgren, August",1.25,3.42,2025-06-02 06:21:26 UTC
