TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Littlerockchallenger,R16,Patrick Kypson,Tyler Zink,70.6000,29.4000,66.3415,33.6585,1.4200,3.4000,1.3800,2.7200,-0.0400,-0.6800,-0.0282,-0.2000
Littlerockchallenger,R16,Rio Noguchi,Paul Jubb,61.0000,39.0000,50.0000,50.0000,1.6400,2.5600,1.8300,1.8300,0.1900,-0.7300,0.1159,-0.2852
Littlerockchallenger,R16,Alexis Galarneau,Naoki Nakagawa,86.4000,13.6000,73.8397,26.1603,1.1600,7.3500,1.2400,3.5000,0.0800,-3.8500,0.0690,-0.5238
Littlerockchallenger,R16,Andres Andrade,Stefan Kozlov,47.5000,52.5000,38.1443,61.8557,2.1100,1.9000,2.4000,1.4800,0.2900,-0.4200,0.1374,-0.2211
Vicenzachallenger,R16,Chun Hsin Tseng,Federico Bondioli,86.7000,13.3000,77.6091,22.3909,1.1500,7.5200,1.1800,4.0900,0.0300,-3.4300,0.0261,-0.4561
Vicenzachallenger,R16,Joel Schwaerzler,Marco Cecchinato,37.5000,62.5000,55.1351,44.8649,2.6700,1.6000,1.6600,2.0400,-1.0100,0.4400,-0.3783,0.2750
Vicenzachallenger,R16,Chris Rodesch,Martin Klizan,58.7000,41.3000,68.3215,31.6785,1.7000,2.4200,1.3400,2.8900,-0.3600,0.4700,-0.2118,0.1942
Vicenzachallenger,R16,Facundo Mena,Yu Hsiou Hsu,61.7000,38.3000,67.8571,32.1429,1.6200,2.6100,1.3500,2.8500,-0.2700,0.2400,-0.1667,0.0920
Chisinauchallenger,R16,Ilia Simakin,Philip Henning,69.7000,30.3000,65.8477,34.1523,1.4300,3.3000,1.3900,2.6800,-0.0400,-0.6200,-0.0280,-0.1879
Chisinauchallenger,R16,Cem Ilkel,Petr Bar Biryukov,64.0000,36.0000,51.7711,48.2289,1.5600,2.7800,1.7700,1.9000,0.2100,-0.8800,0.1346,-0.3165
Chisinauchallenger,R16,Denis Yevseyev,Kaichi Uchida,70.8000,29.2000,70.4545,29.5455,1.4100,3.4200,1.3000,3.1000,-0.1100,-0.3200,-0.0780,-0.0936
Chisinauchallenger,R16,Masamichi Imamura,Giles Hussey,45.5000,54.5000,,,2.2000,1.8300,,,,,,
