tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Londres,"Lehecka, Jiri","Diallo, Gabriel",1.57,2.31,2025-06-19 06:20:08 UTC
ATP Londres,"Fearnley, Jacob",Moutet Corentin,1.52,2.43,2025-06-19 06:20:08 UTC
ATP Londres,"Alcaraz Garfia, Carlos","Munar, Jaume",1.03,10.14,2025-06-19 06:20:08 UTC
ATP Londres,"Opelka, Reilly","Rinderknech, Arthur",1.7,2.08,2025-06-19 06:20:08 UTC
ATP Londres,"Nakashima, Brand.","Draper, Jack",4.36,1.19,2025-06-19 06:20:08 UTC
ATP Londres,"Rune, Holger","Bautista Agut, Roberto",1.3,3.33,2025-06-19 06:20:08 UTC
ATP Halle,"Auger-Aliassime, Félix","Khachanov, Karen",1.7,2.08,2025-06-19 06:20:08 UTC
ATP Halle,"Shapovalov, Denis","Cobolli, Flavio",1.56,2.33,2025-06-19 06:20:08 UTC
ATP Halle,Rublev Andrey,"Etcheverry, Tomas Martin",1.28,3.47,2025-06-19 06:20:08 UTC
ATP Halle,"Marozsan, Fabian","Machac, Tomas",2.08,1.7,2025-06-19 06:20:08 UTC
ATP Halle,"Sonego, Lorenzo","Zverev, Alexander",5.42,1.13,2025-06-19 06:20:08 UTC
ATP Halle,"Sinner, Jannik",Bublik Alexander,1.1,6.23,2025-06-19 06:20:08 UTC
ATP Halle,"Michelsen, Alex","Medvedev, Daniil",2.54,1.48,2025-06-19 06:20:08 UTC
Challenger Nottingham 2,"Smith, Colton","Nava, Emilio",1.6,2.14,2025-06-19 06:20:08 UTC
Challenger Nottingham 2,"Faria, Jaime","Mochizuki, Shintaro",2.35,1.5,2025-06-19 06:20:08 UTC
Challenger Nottingham 2,"Landaluce, Martin","Atmane, Terence",1.72,1.96,2025-06-19 06:20:08 UTC
Challenger Nottingham 2,"Barrios Vera, Marcelo Tomas","Cilic, Marin",2.58,1.42,2025-06-19 06:20:08 UTC
Challenger Poznań,"Barton, Hynek","Svrcina, Dalibor",2.55,1.43,2025-06-19 06:20:08 UTC
Challenger Poznań,"Giustino, Lorenzo","Tirante, Thiago Agustin",2.72,1.38,2025-06-19 06:20:08 UTC
Challenger Poznań,Garin Christian,"Krumich, Martin",1.11,5.23,2025-06-19 06:20:08 UTC
Challenger Poznań,"Misolic, Filip","Rodionov, Jurij",1.26,3.35,2025-06-19 06:20:08 UTC
Challenger Royan,"Brunold, Mika","Santamarta Roig, Andres",1.7,1.99,2025-06-19 06:20:08 UTC
Challenger Royan,Couacaud Enzo,"Kuzmanov, Dimitar",2.65,1.4,2025-06-19 06:20:08 UTC
Challenger Royan,"Merida, Daniel","Feldbausch, Kilian",1.83,1.83,2025-06-19 06:20:08 UTC
Challenger Royan,"Mikrut, Luka","Droguet, Titouan",2.49,1.45,2025-06-19 06:20:08 UTC
Challenger Santa Cruz,"Hernandez, Alex","La Serna, Juan Manuel",1.83,1.83,2025-06-19 06:20:08 UTC
Challenger Santa Cruz,"Roncadelli, Fran.","Prado Angelo, Juan Carlos",2.8,1.36,2025-06-19 06:20:08 UTC
Challenger Sassuolo,"Hernandez, Alex","La Serna, Juan Manuel",1.83,1.83,2025-06-19 06:20:08 UTC
Challenger Sassuolo,"Roncadelli, Fran.","Prado Angelo, Juan Carlos",2.8,1.36,2025-06-19 06:20:08 UTC
